ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
1981-07-01,2587.0,196.57,83.45,45473.0,0.0,0.0,0.0,482.1,14721.0,1280.28,474.87,280662.4,17308.0,1476.85,558.32,326135.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,5364,7363,12727,85.05,14.95,0.0,0.0,5.69,32,31591.0,1083.97,1019.06,289866.0,92,0,12.211441824507151,1.6439030990315073,False,0.0,0.0,2587.0,0.35135135135135137,5.88944817300522,16.762275569322547,0.0004572477096790637,5.598911748158863e-05,,,6.374463967629143,0.0,0.0,0.0,0.04591541290275659,0.0161324423712388,1.372669649515287
1981-08-01,5904.0,229.61,190.45,51377.0,0.0,0.0,0.0,482.1,36018.0,1443.66,1161.87,316680.4,41922.0,1673.27,1352.32,368057.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,4471,14260,18731,85.92,14.08,0.0,0.0,6.1,32,34643.0,1316.06,1117.52,324509.0,93,0,5.8677168021680215,-51.94902545912231,False,0.0,0.0,8491.0,0.41402524544179525,7.748378438828003,18.71474873605815,0.0005014223166855055,0.000127777251492578,25914532.0,-6.34372502233913,6.316230998306636,0.0,0.0,0.0,0.05119386272990025,0.021195551581860525,3.1894430776112728
1981-09-01,1339.0,128.04,44.63,52716.0,0.0,0.0,0.0,482.1,11798.0,1139.86,393.27,328478.4,13137.0,1267.91,437.9,381194.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,1430,5759,7189,89.81,10.19,0.0,0.0,8.81,32,10485.0,1375.16,349.5,334994.0,94,0,7.830470500373413,33.45004137691492,False,0.0,0.0,9830.0,0.2325056433408578,7.3321678321678325,31.535440287867473,0.00015175974916859178,2.8979291962832306e-05,-237473140.0,1.9627536982053915,6.354693072312012,0.0,0.0,0.0,0.02057108942383748,0.004782894380711649,4.027272727272727
1981-10-01,3524.0,150.38,113.68,56240.0,0.0,0.0,0.0,482.1,33232.0,1383.13,1072.0,361710.4,36756.0,1533.52,1185.68,417950.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,4875,14140,19015,90.41,9.59,0.0,0.0,9.43,32,31960.0,1098.13,1030.97,366954.0,95,0,9.069239500567537,15.819853993895405,False,0.0,0.0,13354.0,0.24922206506364922,6.555897435897436,26.305445443697433,0.0004625886107227652,7.626812910905232e-05,286777150.0,1.2387690001941243,6.524786628733997,0.0,0.0,0.0,0.020561695884761835,0.005124428309611082,2.9005128205128203
1981-11-01,4091.0,182.71,136.37,60331.0,0.0,0.0,0.0,482.1,27913.0,1277.84,930.43,389623.4,32004.0,1460.56,1066.8,449954.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,4892,12127,17019,87.22,12.78,0.0,0.0,6.82,32,41504.0,1421.98,1383.47,408458.0,96,0,10.145196773405035,11.863809228658774,False,0.0,0.0,17445.0,0.3373464170858415,8.484055600981193,25.14938701371277,0.0006007283385305898,8.853942002983342e-05,166495080.0,1.0759572728374973,6.7702839336327925,0.0,0.0,0.0,0.03797109158517924,0.012809411699098562,2.4789452166802945
1981-12-01,5824.0,252.51,187.87,66155.0,0.0,0.0,0.0,482.1,30481.0,1309.32,983.26,420104.4,36305.0,1561.82,1171.13,486259.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,5158,12714,17872,83.96,16.04,0.0,0.0,5.23,32,38275.0,1246.15,1234.68,446733.0,97,0,6.571943681318682,-35.221131456547006,False,0.0,0.0,23269.0,0.45807770961145194,7.4205118262892595,16.199242335068963,0.0005539918359015594,0.00012604585242086285,-75135601.0,-3.573253092086353,6.752822915879374,0.0,0.0,0.0,0.06380075890683716,0.02922570551151641,2.464908879410624
1982-01-01,4789.0,180.05,154.48,70944.0,0.0,0.0,0.0,482.1,37331.0,1412.88,1204.23,457435.4,42120.0,1592.93,1358.71,528379.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,5040,14712,19752,88.63,11.37,0.0,0.0,7.8,32,45743.0,1524.77,1475.58,492476.0,98,0,9.551680935477135,45.340273724934896,False,0.0,0.0,28058.0,0.32551658510059817,9.075992063492064,27.881811492607067,0.0006620835675935998,0.0001036458769305481,209537144.0,2.9797372541584535,6.9417568786648625,0.0,0.0,0.0,0.032436185689006955,0.010558516399174437,2.919047619047619
1982-02-01,3539.0,154.5,126.39,74483.0,0.0,0.0,0.0,482.1,34206.0,1403.78,1221.64,491641.4,37745.0,1558.29,1348.04,566124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,4512,12384,16896,90.62,9.38,0.0,0.0,9.67,32,36799.0,1370.03,1314.25,529275.0,99,0,10.398135066402938,8.861834232568189,False,0.0,0.0,31597.0,0.28577196382428943,8.155806737588652,28.539562203531464,0.0005326282317267534,7.65927664349989e-05,-282603568.0,0.8464541309258031,7.105983915792866,0.0,0.0,0.0,0.02296158304747371,0.006561776679991075,2.74468085106383
1982-03-01,4243.5,232.74,145.66,80139.0,0.0,0.0,0.0,482.1,29937.0,1191.47,965.71,521578.4,35593.0,1424.21,1148.16,601717.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,5040,14832,19872,84.11,15.89,0.0,0.0,5.29,32,27590.5,755.2,963.49,551931.0,100,0,4.005657708628005,0.8032815139292104,True,0.0,0.0,35840.5,0.28610436893203883,5.4743055555555555,19.133946035112526,0.00039934452641259243,9.183989951029043e-05,-330037244.25,-6.392477357774933,6.887171040317448,0.0,0.0,0.0,0.03951464559896146,0.011305312742664034,2.942857142857143
1982-04-01,4948.0,253.63,164.93,85087.0,0.0,0.0,0.0,482.1,18605.0,910.33,620.17,540183.4,23553.0,1163.96,785.1,625270.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129300.0,0,0,0,0,4963,11806,16769,78.99,21.01,0.0,0.0,3.76,32,18382.0,621.87,612.73,570313.0,101,0,3.7150363783346805,-7.255271204709768,False,0.0,0.0,40788.5,0.41910892766389973,3.703808180535966,8.837340214108249,0.00026606082109843147,0.00010708703258558196,-375600902.25,-0.29062133029332493,6.702704290902253,0.0,0.0,0.0,0.07246125241081107,0.030369157795078195,2.378803143260125
