ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
1997-02-01,7637.3,293.76,272.76,119589.6,0.0,0.0,0.0,0.0,12568.3,471.46,448.87,84007.9,20205.6,765.22,721.63,203597.5,0,0,0,0,0,0,0,0,0,0,0,0,2491,11461,13952,62.2,37.8,0.0,0.0,1.65,22,5813.8,222.35,207.64,32380.5,108,0,0.761237610150184,8.16651375047952,False,0,0,7637.3,0.6663729168484426,2.3339221196306705,3.5024264351390038,0.00023768503557002876,0.0009431988377460634,,,0.2707635112083325,0.0,0.0,0.0,0.16323067726054347,0.1087725025252551,4.600963468486552
1997-03-01,9870.1,344.66,318.39,129459.7,0.0,0.0,0.0,0.0,13967.1,492.91,450.55,97975.0,23837.2,837.56,768.94,227434.7,0,0,0,0,0,0,0,0,0,0,0,0,2784,11655,14439,58.59,41.41,0.0,0.0,1.42,22,8790.0,303.72,283.55,41170.5,109,0,0.8905684846151508,16.989553950106483,False,0,0,17507.4,0.8468554268554269,3.1573275862068964,3.7282958650106255,0.0003593607387011168,0.0012189473830329332,52105523.88,0.12933087446496683,0.3180178851024682,0.0,0.0,0.0,0.21611967235447507,0.183022117383604,4.186422413793103
1997-04-01,9481.4,329.56,316.05,138941.1,0.0,0.0,0.0,0.0,14460.9,555.77,482.03,112435.9,23942.3,885.32,798.08,251377.0,0,0,0,0,0,0,0,0,0,0,0,0,2734,11334,14068,60.4,39.6,0.0,0.0,1.53,23,9886.0,371.68,329.53,51056.5,110,0,1.0426730229712913,17.07948810044302,False,0,0,26988.800000000003,0.8365449091229927,3.615947329919532,4.3224784353901295,0.00040416840304883286,0.00117094332554771,29579724.800000004,0.15210453835614046,0.3674686611808889,0.0,0.0,0.0,0.209327971702828,0.17511224906504264,4.145574250182882
1997-05-01,8634.4,297.48,278.53,147575.5,0.0,0.0,0.0,0.0,18710.2,642.29,603.55,131146.1,27344.6,939.78,882.08,278721.6,0,0,0,0,0,0,0,0,0,0,0,0,2942,12167,15109,68.42,31.58,0.0,0.0,2.17,23,10462.0,408.17,337.48,61518.5,111,0,1.2116649680348375,16.20756856084875,False,0,0,35623.200000000004,0.7096572696638448,3.556084296397009,5.010988329734829,0.0004277169565746398,0.0010663396808603314,20518963.200000003,0.1689919450635462,0.4168611998604104,0.0,0.0,0.0,0.15880776449649397,0.11269908455400078,4.135622025832767
1997-06-01,8978.0,310.32,299.27,156553.5,0.0,0.0,0.0,0.0,22254.2,759.53,741.81,153400.3,31232.2,1069.85,1041.07,309953.8,0,0,0,0,0,0,0,0,0,0,0,0,3430,12151,15581,71.25,28.75,0.0,0.0,2.48,23,14297.0,500.41,476.57,75815.5,112,0,1.5924482067275563,31.426446149573795,False,0,0,44601.200000000004,0.7388692288700518,4.168221574344023,5.641352233220564,0.0005845028988862192,0.0011087739338881747,171045602.00000003,0.3807832386927188,0.48427853736901444,0.0,0.0,0.0,0.1568985641920124,0.11592752113537053,3.5425655976676387
1997-07-01,9360.2,335.97,301.94,165913.7,0.0,0.0,0.0,0.0,22358.9,808.88,721.25,175759.2,31719.1,1144.85,1023.2,341672.9,0,0,0,0,0,0,0,0,0,0,0,0,3443,11787,15230,70.49,29.51,0.0,0.0,2.39,23,14947.6,520.75,482.18,90763.1,113,0,1.5969316894938141,0.2815465361646785,False,0,0,53961.40000000001,0.7941121574616103,4.341446413011909,5.467044386890382,0.0006111013171568616,0.0011559752479371902,35107286.840000026,0.0044834827662578736,0.5470500627735986,0.0,0.0,0.0,0.17119710615601882,0.13594970332074044,3.423467905896021
1997-08-01,10167.4,345.29,327.98,176081.1,0.0,0.0,0.0,0.0,22277.7,805.89,718.64,198036.9,32445.1,1151.18,1046.62,374118.0,0,0,0,0,0,0,0,0,0,0,0,0,7927,12337,20264,68.66,31.34,0.0,0.0,2.19,34,17297.3,763.38,557.98,108060.4,114,0,1.7012510573007849,6.532487801030307,False,0,0,64128.80000000001,0.8241387695549971,2.1820739245616245,2.64770206811149,0.0007071638800380918,0.0012556636328151735,150683441.35999995,0.10431936780697071,0.6136967567785525,0.0,0.0,0.0,0.18379773912319092,0.15147484256797691,1.5563264791219882
1997-09-01,10218.9,376.87,340.63,186300.0,0.0,0.0,0.0,0.0,23462.3,826.39,782.08,221499.2,33681.2,1203.26,1122.71,407799.2,0,0,0,0,0,0,0,0,0,0,0,0,8574,11004,19578,69.66,30.34,0.0,0.0,2.3,34,19124.0,715.56,637.47,127184.4,115,0,1.871434303105031,10.003417489377476,False,0,0,74347.70000000001,0.9286532170119957,2.2304641940751107,2.4018268102831533,0.0007818446833811328,0.0012620238308097425,135810943.59000006,0.17018324580424604,0.6826859903381642,0.0,0.0,0.0,0.20326866370704277,0.18876609846927475,1.2834149755073478
1997-10-01,11046.0,373.37,356.32,197346.0,0.0,0.0,0.0,0.0,27349.7,910.02,882.25,248848.9,38395.7,1283.38,1238.57,446194.9,0,0,0,0,0,0,0,0,0,0,0,0,9137,11966,21103,71.23,28.77,0.0,0.0,2.48,34,22432.5,861.72,723.63,149616.9,116,0,2.030825638240087,8.51706815839588,False,0,0,85393.70000000001,0.9231154938993816,2.455127503556966,2.6596103302157026,0.0009171057759855293,0.0013641698455924235,282525056.45000005,0.1593913351350562,0.758145085281688,0.0,0.0,0.0,0.19602317963316648,0.18095203428279769,1.3096202254569334
1997-11-01,11569.9,402.34,385.66,208915.9,0.0,0.0,0.0,0.0,32586.2,1132.03,1086.21,281435.1,44156.1,1534.37,1471.87,490351.0,0,0,0,0,0,0,0,0,0,0,0,0,7781,11413,19194,73.8,26.2,0.0,0.0,2.82,34,21259.7,768.0,708.66,170876.6,117,0,1.8375007562727423,-9.519521436359257,False,0,0,96963.6,1.0137474809427844,2.732258064516129,2.695205774494385,0.000869158304501039,0.0014288709665507676,-113718910.07999994,-0.19332488196734476,0.8179205125124512,0.0,0.0,0.0,0.20348627930867774,0.2062837030555919,1.4667780490939468
1997-12-01,11098.0,376.3,358.0,220013.9,0.0,0.0,0.0,0.0,36740.9,1328.38,1185.19,318176.0,47838.9,1704.67,1543.19,538189.9,0,0,0,0,0,0,0,0,0,0,0,0,8258,11761,20019,76.8,23.2,0.0,0.0,3.31,33,21517.0,750.44,694.1,192393.6,118,0,1.9388178050099116,5.513850723124847,False,0,0,108061.6,0.9436272425814132,2.605594574957617,2.761254081463014,0.0008796774760673413,0.0013705917930820855,27804249.67999992,0.10131704873716929,0.8744611135932776,0.0,0.0,0.0,0.17503283952003754,0.165165755717488,1.4241947202712522
1998-01-01,9785.45,327.87,330.3,229885.3,0.0,0.0,0.0,0.0,37819.8,1237.33,1219.99,355995.8,47691.2,1565.19,1538.43,585881.1,0,0,0,0,0,0,0,0,0,0,0,0,7562,10404,17966,79.3,20.7,0.0,0.0,3.83,32,28298.35,1067.46,973.4749999999999,224814.6,119,0,3.2843365682679257,15.786755742175785,True,0,0,117847.05,0.9405469050365245,3.7421779952393543,3.978725542767092,0.0011569187667830202,0.0012084931935137046,799162092.5174998,1.3455187632580141,0.9779424782706855,0.0,0.0,0.0,0.1608747085476269,0.15131020922312338,1.375826500925681
