ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,DeltaMonInjSteam(m3),delta_wells,delta_SOR,delta_delta_SOR,CumPrdHours(hr),cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj,delta_OCT(%),delta_steam,delta_oil,delta_lnncg,delta_ncg,CalInjGas(m3/d),delta_PrdHours,delta_Inj/PrdHours,delta_cSOR,delta_delta_cSOR,scale,oil/wellhours(m3/d/well/hr),steam/wellhours(m3/d/well/hr),daily_sor,delta_sor_wellhour,Ncg/steam,lnncg,lnncg/steam,ncg/scale,oil/scale,Ncg/oil,OilRate/lnncg,cumsteam/oil,SteamRate/PrdHours,CumPrdHours(hr)/OilRate,CumOil/CumPrdHours,PrdHours(hr)/wells,min_sor,CumSteam/Months,cum_injected_volume,cum_produced_volume,system_volume,NCG_6_month_avg,SOR_6_month_avg,OIL_6_month_avg
1998-12-01,8474.6,285.95,273.37,315814.9,0.0,0.0,0.0,0.0,29928.3,1013.44,965.43,665304.0,38402.9,1299.39,1238.8,981118.9,0,0,0,0,0,0,0,0,0,0,0,0,7019,5304,12323,77.93,22.07,0.0,0.0,3.53,26,32985.0,1143.56,1064.03,512796.3,0,0,3.8922191017865146,0,0,8474.6,1.5977752639517346,4.699387377119248,2.9412067411135023,0.0,0.0,0.0,0.0,5304,1.623724213138772,0.0,0.0,0.0,0.8420126972571977,1.3453470596108312,0.7556631998860236,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,137904,0.001982321034922845,0.007715729783037475,3.892270549072685,0.0,0.0,0,0.0,0.0,0.001982321034922845,0.0,inf,96.6810520361991,0.0008860081781899033,3319.615793075779,2.5528857940960354,204.0,3.892270549072685,inf,512796.3,981118.9,-468322.60000000003,0.0,0.0,0.0
1999-01-01,7269.4,304.0,234.5,323084.3,0.0,0.0,0.0,0.0,31735.7,1301.44,1023.73,697039.7,39005.1,1605.44,1258.23,1020124.0,0,0,0,0,0,0,0,0,0,0,0,0,8112,5793,13905,81.36,18.64,0.0,0.0,4.37,27,36536.0,1180.24,1178.58,549332.3,1,0,5.025999394723086,0,0,15744.0,1.2548593129639218,4.503944773175542,3.5892029701221446,55906944.0,1.0,1.1337802929365712,0.0,11097,1.700275438948906,0.0,0.0,0.0,0.71015764513245,0.8911479346669828,0.7141272189349113,-3.4299999999999997,114.54999999999995,-38.870000000000005,0.0,0.0,0,489.0,1582.0,0.07655122581013418,0.0,156411,0.0014992551674754334,0.007535147783723651,5.02592750533049,1.1336569562578047,0.0,0,0.0,0.0,0.0014992551674754334,0.0,inf,43.78396548316127,0.0007774805408554362,8843.222411753379,1.7803464921423793,214.55555555555554,5.02592750533049,549332.3,549332.3,1020124.0,-470791.69999999995,0.0,0.0,0.0
1999-02-01,11108.4,400.11,396.73,334192.7,0.0,0.0,0.0,0.0,40494.8,1457.15,1446.24,737534.5,51603.2,1857.25,1842.97,1071727.2,0,0,0,0,0,0,0,0,0,0,0,0,6273,5642,11915,78.47,21.53,0.0,0.0,3.65,27,35147.0,1268.4,1255.25,584479.3,2,0,3.164002016492024,0,0,26852.4,1.9688762850053172,5.602901323130879,2.8457355933441737,-37297983.6,0.0,-1.8619973782310617,-2.995777671167633,16739,1.7489289861807276,0.0,0.0,0.0,0.9853160739889699,1.9399654513114273,0.899410170572294,2.8900000000000006,76.67000000000007,162.23000000000002,0.0,0.0,0,-151.0,-1990.0,0.04865354723182147,-0.027897678578312712,152334,0.002604343088214056,0.008240117111084853,3.1639906233458523,-1.8619368819846374,0.0,0,0.0,0.0,0.002604343088214056,0.0,inf,42.85529162557196,0.0009930700679069264,8501.803860141876,3.1584356028124008,208.96296296296296,3.1639906233458523,292239.65,584479.3,1071727.2,-487247.8999999999,0.0,0.0,0.0
1999-03-01,11087.6,386.89,357.66,345280.3,0.0,0.0,0.0,0.0,35629.0,1266.18,1149.32,773163.5,46716.6,1653.08,1506.99,1118443.8,0,0,0,0,0,0,0,0,0,0,0,0,6675,5390,12065,76.27,23.73,0.0,0.0,3.21,26,30783.0,996.87,993.0,615262.3,3,0,2.7763447454814387,0,0,37940.0,2.0570686456400744,4.611685393258427,2.2418723862389442,-165570160.0,-1.0,-0.38765727101058545,1.4743401072204763,22129,1.7819212390628718,0.0,0.0,0.0,0.869134897969272,1.7878701474441747,0.8074906367041198,2.1999999999999993,-262.25,-39.06999999999999,0.0,0.0,0,-252.0,150.0,0.032992252882144246,-0.015661294349677224,140140,0.002552162123590695,0.007085771371485658,2.7763798020466366,-0.38761082129921576,0.0,0,0.0,0.0,0.002552162123590695,0.0,inf,33.35890316748543,0.0008556002584895041,10757.540856452251,3.5268283436027126,207.30769230769232,2.7763798020466366,205087.43333333335,615262.3,1118443.8,-503181.5,0.0,0.0,0.0
1999-04-01,7381.4,258.37,246.05,352661.7,0.0,0.0,0.0,0.0,24155.8,881.51,805.19,797319.3,31537.2,1139.87,1051.24,1149981.0,0,0,0,0,0,0,0,0,0,0,0,0,6733,5274,12007,76.59,23.41,0.0,0.0,3.27,28,20729.0,981.04,690.97,635991.3,4,0,2.8082748530089146,0,0,45321.4,1.3995828593098216,3.0787167681568395,2.199738834809003,-455661355.6,2.0,0.031930107527475826,0.4195873785380613,27403,1.803403374962464,0.0,0.0,0.0,0.5747074057939793,0.8043506342676675,0.7833061042625873,-0.3200000000000003,-302.03,-111.61000000000001,0.0,0.0,0,-116.0,-58.0,0.021482135899592247,-0.011510116982551999,147672,0.0016661926431551005,0.004679086082669701,2.808250355618777,0.03187055357214019,0.0,0,0.0,0.0,0.0016661926431551005,0.0,inf,19.64022563623742,0.0005837536534237465,19579.405261874443,2.314748553075362,188.35714285714286,2.808250355618777,158997.825,635991.3,1149981.0,-513989.69999999995,0.0,0.0,0.0
1999-05-01,7227.6,268.33,233.15,359889.3,0.0,0.0,0.0,0.0,29180.2,1119.72,941.3,826499.5,36407.8,1388.05,1174.45,1186388.8,0,0,0,0,0,0,0,0,0,0,0,0,7989,5621,13610,80.15,19.85,0.0,0.0,4.04,28,32147.0,1089.83,1037.0,668138.3,5,0,4.447811168299297,0,0,52549.0,1.2858210282867817,4.023907873325823,3.1294463108036483,600004482.0,0.0,1.6395363152903824,1.6076062077629065,33024,1.856510599231486,0.0,0.0,0.0,0.666600160843471,0.8571285042718859,0.7035924396044562,-3.5599999999999987,346.03,-12.900000000000006,0.0,0.0,0,347.0,1603.0,0.053107224269022035,0.03162508836942979,157388,0.0014813708796096272,0.006588812361806491,4.447780398884838,1.639530043266061,0.0,0,0.0,0.0,0.0014813708796096272,0.0,inf,16.348670306642987,0.0007158704631428256,25683.20106259339,2.0460455794404706,200.75,4.447780398884838,133627.66,668138.3,1186388.8,-518250.5,0.0,3.685775213298546,290.24333333333334
1999-06-01,5803.1,228.17,193.44,365692.4,0.0,0.0,0.0,0.0,28163.7,1156.88,938.79,854663.2,33966.8,1385.05,1132.23,1220355.6,0,0,0,0,0,0,0,0,0,0,0,0,7076,5833,12909,82.92,17.08,0.0,0.0,4.85,32,31734.0,1226.33,1057.8,699872.3,6,0,5.468456514621495,0,0,58352.1,0.9948739927995887,4.484737139626908,4.50784438238937,-24099417.3,4.0,1.0206453463221985,-0.6188909689681839,38857,1.9138278509479552,0.0,0.0,0.0,0.6592874778941121,0.6559079655352859,0.824335782928208,-2.770000000000003,20.799999999999955,-39.71000000000001,0.0,0.0,0,212.0,-701.0,0.057317251716469064,0.004210027447447029,186656,0.0010363449339962283,0.005667109549117092,5.468362282878412,1.0205818839935743,0.0,0,0.0,0.0,0.0010363449339962283,0.0,inf,11.93247114586847,0.0007688560157083676,39057.20752701142,1.4940161802311263,182.28125,5.468362282878412,116645.38333333335,699872.3,1220355.6,-520483.30000000005,0.0,3.9484814487710422,276.9216666666667
1999-07-01,8359.0,333.3,269.65,374051.4,0.0,0.0,0.0,0.0,41614.1,1713.66,1342.39,896277.3,49973.1,2046.96,1612.04,1270328.7,0,0,0,0,0,0,0,0,0,0,0,0,11000,9977,20977,83.27,16.73,0.0,0.0,4.98,40,52691.0,1794.17,1699.71,752563.3,7,0,6.303505203971767,0,0,66711.1,0.8378270021048412,4.790090909090909,5.717279220002393,1398064522.7,8.0,0.8350486893502715,-0.18559665697192695,48834,2.011924831720988,0.0,0.0,0.0,0.6911892658310953,0.5790970304783127,0.907,-0.34999999999999787,641.9100000000001,76.20999999999998,0.0,0.0,0,4144.0,8068.0,0.09809698077303297,0.04077972905656391,399080,0.000675679061842237,0.004259070862984865,6.303393287595031,0.835031004716619,0.0,0,0.0,0.0,0.000675679061842237,0.0,inf,9.451468399308755,0.0004801133516178119,58286.49575308051,1.14453784085097,249.425,6.303393287595031,107509.04285714286,752563.3,1270328.7000000002,-517765.40000000014,0.0,4.161399083645822,282.78000000000003
1999-08-01,13296.1,437.14,428.91,387347.5,0.0,0.0,0.0,0.0,63356.7,2096.21,2043.76,959634.0,76652.8,2533.36,2472.67,1346981.5,0,0,0,0,0,0,0,0,0,0,0,0,10824,11621,22445,82.65,17.35,0.0,0.0,4.77,40,55956.0,1934.77,1805.03,808519.3,8,0,4.208452102496221,0,0,80007.20000000001,1.1441442216676707,5.169623059866963,4.518331659562877,261223508.00000003,0.0,-2.0950531014755462,-2.930101790825818,60455,2.087322881908364,0.0,0.0,0.0,0.7687839449354357,0.8795997083087554,1.0736326681448634,0.620000000000001,105.31999999999994,159.26000000000005,0.0,0.0,0,1644.0,1468.0,0.07539805018737589,-0.022698930585657084,464840,0.0009227045865243956,0.003883121073917907,4.208412021169942,-2.094981266425089,0.0,0,0.0,0.0,0.0009227045865243956,0.0,inf,11.56224296315569,0.0004448518251326876,52838.61846706929,1.514180391560825,290.525,4.208412021169942,101064.9125,808519.3,1346981.5,-538462.2,0.0,4.335474097979855,288.1433333333334
1999-09-01,16949.9,628.98,565.0,404297.4,0.0,0.0,0.0,0.0,59443.0,2237.18,1981.43,1019077.0,76392.9,2866.16,2546.43,1423374.4,0,0,0,0,0,0,0,0,0,0,0,0,10478,12715,23193,77.81,22.19,0.0,0.0,3.51,45,60298.0,2110.52,2009.93,868817.3,9,0,3.5574251175523157,0,0,96957.1,1.333063311049941,5.754724184004581,4.316917385920758,420987728.20000005,5.0,-0.651026984943905,1.4440261165316413,73170,2.1489559418388544,0.0,0.0,0.0,1.0343332758185162,1.378831741391763,1.213494941782783,4.84,204.9000000000001,136.08999999999997,0.0,0.0,0,1094.0,748.0,0.0616330599304904,-0.01376499025688549,572175,0.0009874601302049199,0.0035127889194739373,3.5573982300884954,-0.6510137910814469,0.0,0,0.0,0.0,0.0009874601302049199,0.0,inf,11.945370340444072,0.0004525933294537618,54888.61586204048,1.76643368533279,282.55555555555554,3.5573982300884954,96535.25555555556,868817.3,1423374.4,-554557.0999999999,0.0,4.465654159991668,322.7
