ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
1985-07-01,8644.0,292.41,278.84,148948.7,0.0,0.0,0.0,0.0,11755.2,418.89,379.2,148409.9,20399.2,711.3,658.04,297358.6,0,0,0,0,0,0,0,0,0,0,0,0,648,31656,32304,57.63,42.37,0.0,0.0,1.36,50,4555.8,337.87,146.96,54919.9,31,0,0.5270476631189265,19.142486175127303,False,0,0,8644.0,0.27306039929239323,7.030555555555556,25.747254357550517,0.00017717799761794804,0.000911438973503771,,,0.36871688037559236,0.0,0.0,0.0,0.07044204064726127,0.019234931746112155,48.851851851851855
1985-08-01,8703.3,307.12,280.75,157652.0,0.0,0.0,0.0,0.0,14224.9,519.9,458.87,162634.8,22928.2,827.01,739.62,320286.8,0,0,0,0,0,0,0,0,0,0,0,0,720,33288,34008,62.04,37.96,0.0,0.0,1.63,52,4513.4,309.6,145.59,59433.3,32,0,0.518584904576425,-1.6056913130818362,False,0,0,17347.3,0.26145457822638785,6.2686111111111105,23.97590875491672,0.000175529034296687,0.0009176916726163083,-735525.5200000094,-0.008462758542501447,0.37699046000050745,0.0,0.0,0.0,0.06427141611120318,0.016804055991367296,46.233333333333334
1985-09-01,8956.766666666666,549.05,292.32,168080.2,0.0,0.0,0.0,0.0,14656.3,1515.02,488.54,177291.1,25084.5,2064.07,836.15,345371.3,0,0,0,0,0,0,0,0,0,0,0,0,48,33384,33432,58.43,41.57,0.0,0.0,1.41,52,4075.933333333333,87.75,132.62666666666667,59608.8,33,0,0.016829366525383093,-10.214555371468608,True,0,0,26304.066666666666,0.26829519130921,84.91527777777777,316.499439902048,0.0001585156737399026,0.0009444176557819827,-11507152.364444444,-0.5017555380510419,0.3546449849536114,0.0,0.0,0.0,0.06859271490618506,0.01840309556817302,695.5
1985-11-01,9210.233333333334,359.18,303.89,189852.7,0.0,0.0,0.0,0.0,11583.9,447.56,386.13,202055.7,21656.1,806.74,721.87,391908.4,0,0,0,0,0,0,0,0,0,0,0,0,96,31656,31752,53.49,46.51,0.0,0.0,1.15,51,3638.4666666666667,72.75,119.66333333333334,60986.2,35,0,0.028891404062667537,-18.823419429855377,True,0,0,35514.3,0.2909474770448993,37.90069444444445,130.26644818987577,0.00014150231318311822,0.0009711436389476571,-15536322.439999986,0.012062037537284444,0.32122903703766126,0.0,0.0,0.0,0.07797273866240535,0.022685971592108115,329.75
1986-11-01,9463.7,322.32,315.46,297591.5,0.0,0.0,0.0,0.0,9048.8,329.14,301.63,317758.0,18512.5,651.46,617.08,615349.5,0,0,0,0,0,0,0,0,0,0,0,0,384,28536,28920,48.88,51.12,0.0,0.0,0.96,50,3201.0,200.06,106.7,68707.6,47,0,0.33823980050086117,-27.43228348824215,False,0,0,44978.0,0.3316407345107934,8.3359375,25.135445174720246,0.00012448895262633382,0.0009978696221133315,-19676375.733333334,0.3093483964381936,0.2308789061515534,0.0,0.0,0.0,0.09203897757999231,0.030523874128251097,74.3125
1987-05-01,9905.2,333.14,319.52,353417.4,0.0,0.0,0.0,0.0,7836.9,281.24,252.8,373233.5,17742.1,614.39,572.33,726650.9,0,0,0,0,0,0,0,0,0,0,0,0,816,27024,27840,44.17,55.83,0.0,0.0,0.79,48,3968.7,292.25,128.02,72676.3,53,0,0.4006683358236078,18.45688627722204,False,0,0,54883.2,0.36653345174659563,4.86360294117647,13.269192533452422,0.00015434530030869448,0.001044422179586945,42133832.639999986,0.062428535322746614,0.20563871501516337,0.0,0.0,0.0,0.10499190268256199,0.0384830444956821,33.11764705882353
1987-07-01,10214.1,361.59,329.49,372675.5,0.0,0.0,0.0,0.0,10734.4,409.6,346.27,394466.8,20948.5,771.19,675.76,767142.3,0,0,0,0,0,0,0,0,0,0,0,0,1080,25896,26976,51.24,48.76,0.0,0.0,1.05,48,6611.5,356.84,213.27,88863.7,55,0,0.6472914892158879,-38.866276501754506,False,0,0,65097.299999999996,0.3944277108433735,6.121759259259259,15.520611485865398,0.0002571254952480494,0.0010769931535475322,172039144.44,0.24662315339228008,0.23844792587653332,0.0,0.0,0.0,0.1076612378107254,0.04246457557624847,23.977777777777778
1987-09-01,9291.6,325.31,309.72,391752.3,0.0,0.0,0.0,0.0,11013.4,425.26,367.11,416640.4,20305.0,750.58,676.83,808392.7,0,0,0,0,0,0,0,0,0,0,0,0,1152,26304,27456,54.24,45.76,0.0,0.0,1.19,47,6692.0,418.25,223.07,108903.5,57,0,0.7202204141375005,-47.20103090832743,False,0,0,74388.9,0.3532390510948905,5.809027777777778,16.44503278947293,0.0002602561921197832,0.0009797230872521563,5988306.449999999,0.07292892492161263,0.2779907099460552,0.0,0.0,0.0,0.09397794877621102,0.033196681449553005,22.833333333333332
1988-01-01,9058.25,324.82,301.9425,431435.2,0.0,0.0,0.0,0.0,11164.3,383.57,360.14,467935.4,20860.2,708.39,672.91,899370.6,0,0,0,0,0,0,0,0,0,0,0,0,240,28344,28584,53.52,46.48,0.0,0.0,1.15,46,5690.9,124.9,189.7,110152.5,61,0,0.1288173351622851,-39.57699901988941,True,0,0,83447.15,0.3195826277166243,23.712083333333332,74.19703474732978,0.00022132276804161298,0.0009551182417561931,-83538941.86500002,-0.5914030789752154,0.2553164414957333,0.0,0.0,0.0,0.0856468423960509,0.027371242948561532,118.1
1988-02-01,8824.900000000001,321.08,294.165,440299.5,0.0,0.0,0.0,0.0,10410.7,385.82,358.99,478346.1,19275.0,706.9,664.66,918645.6,0,0,0,0,0,0,0,0,0,0,0,0,288,26208,26496,54.01,45.99,0.0,0.0,1.17,46,4689.8,355.75,156.32999999999998,112274.5,62,0,0.23938720485543136,-31.952967131451395,True,0,0,92272.04999999999,0.33672542735042743,16.28402777777778,48.359958753073684,0.0001823893439634428,0.0009305133962602301,-92373549.25499994,0.11056986969314625,0.25499574721297663,0.0,0.0,0.0,0.08991198725744753,0.030275652333190208,91.0
