ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
1967-04-01,1407.2,72.44,46.91,8212.1,0.0,0.0,0.0,0.0,4604.4,270.92,153.48,21431.8,6011.6,343.37,200.39,29643.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.7,0.0,0.0,0.0,0.0,1464,3309,4773,76.59,23.41,0.0,0.0,3.27,12,6937.0,447.61,231.23,171640.4,21,0,4.929647527003979,-14.15067057971493,False,0.0,0.0,1407.2,0.4252644303414929,4.738387978142076,11.142215619437271,4.352573248300387e-06,3.5189899217764097e-06,,,20.900914504207204,0.0,0.0,0.0,0.0793845734904456,0.033759435423316726,2.2602459016393444
1967-05-01,2968.6,150.88,95.76,11180.7,0.0,0.0,0.0,0.0,3667.4,159.0,118.3,25099.2,6636.0,309.89,214.06,36279.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.7,0.0,0.0,0.0,0.0,744,3720,4464,55.27,44.73,0.0,0.0,1.24,12,12591.7,9355.26,406.18,184232.1,22,0,4.241629050730984,-13.956747871001273,False,0.0,0.0,4375.8,0.798010752688172,16.92432795698925,21.208145253654923,7.900576123774539e-06,7.4235883184944925e-06,24743836.260000005,-0.6880184762729948,16.477689232337866,0.0,0.0,0.0,0.21038462238002756,0.16788919085950263,5.0
1967-06-01,2092.6,77.73,67.50333333333333,12552.2,0.0,0.0,0.0,0.0,2360.9,142.42,78.7,27460.1,3732.4,220.15,124.41,40012.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.7,0.0,0.0,0.0,0.0,240,2520,2760,63.25,36.75,0.0,0.0,1.72,12,9275.9,7002.03,299.22,192351.5,23,0,5.920087495442945,-17.82767373006161,True,0.0,0.0,6468.4,0.8303968253968254,38.64958333333333,46.54351046544968,5.820100071199301e-06,5.2329720795262325e-06,-21447920.720000006,1.6784584447119606,15.324126447953345,0.0,0.0,0.0,0.20091204968741055,0.16683672824439497,10.5
1967-07-01,1216.6,11.99,39.24666666666666,12920.4,0.0,0.0,0.0,0.0,1069.4,39.39,34.5,28529.5,1437.6,51.38,46.37,41449.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.7,0.0,0.0,0.0,0.0,96,1224,1320,74.39,25.61,0.0,0.0,2.9,12,5960.099999999999,3835.85,192.26000000000002,196192.1,24,0,10.430744160782183,-21.698599589121947,True,0.0,0.0,7685.0,0.993954248366013,62.084374999999994,62.462004767384514,3.739624018624064e-06,3.042355840557973e-06,-25481923.0,4.510656665339238,15.184676944986224,0.0,0.0,0.0,0.19692401005785415,0.1957334564022756,12.75
1967-08-01,340.6,21.56,10.99,13261.0,0.0,0.0,0.0,0.0,2196.6,141.28,70.86,30726.1,2537.2,162.85,81.85,43987.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.7,0.0,0.0,0.0,0.0,408,1152,1560,86.58,13.42,0.0,0.0,6.45,12,2644.3,2430.66,85.3,198836.4,25,0,7.763652378156195,-25.569525448182283,False,0.0,0.0,8025.6,0.29565972222222225,6.4811274509803924,21.92090083244102,1.659147966048827e-06,8.517396015897138e-07,-26611284.479999997,-2.667091782625988,14.994072845185128,0.0,0.0,0.0,0.034908345402642656,0.010320991704982716,2.823529411764706
1967-09-01,482.40000000000003,28.97,15.565000000000001,14076.7,10.4,0.4,0.35,10.4,2849.5,105.14,94.98,33575.6,3665.2,134.11,122.17,47652.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.7,0.0,0.0,0.0,0.0,48,1944,1992,77.74,22.26,12.75,273.99,3.49,12,2267.15,3396.3,73.13499999999999,202232.7,26,0,4.163663111438028,-26.424043811054965,True,0.0,0.0,8508.0,0.24814814814814817,47.23229166666667,190.33908582089552,1.4225077756788557e-06,1.206339353514028e-06,-3208792.2000000007,-3.5999892667181665,14.366485042659146,0.0,0.0,0.0,0.04474117324765252,0.011102439287380441,40.5
1967-10-01,624.2,21.49,20.14,14700.9,7.3,0.24,0.24,17.7,2228.8,80.58,71.9,35804.4,2853.0,102.07,92.03,50505.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.7,0.0,0.0,0.0,0.0,72,1944,2016,78.12,21.88,11.69,305.32,3.57,12,1890.0,1890.0,60.97,204122.7,27,0,3.0278756808715155,-27.278562173927646,False,0.0,0.0,9132.2,0.3210905349794239,26.25,81.75264338353091,1.1858675853088843e-06,1.5609391054383421e-06,-3444209.230000001,-1.1357874305665128,13.885047854213008,0.0,0.0,0.0,0.05717326323827512,0.018357793679697188,27.0
1967-12-01,1213.425,1403.8,39.947500000000005,17359.0,40.5,1.56,1.31,65.2,2387.7,1378.35,77.02,39974.2,4312.0,2782.15,139.1,57333.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,960,1248,2208,55.37,44.63,21.05,58.96,1.24,13,5525.325,687.55,182.655,239222.4,29,0,7.94959205945019,-24.939068592357927,True,0.0,0.0,10345.625,0.972295673076923,5.755546874999999,5.919543853142963,3.4668274157655086e-06,3.034416107043448e-06,37609709.203125,4.921716378578674,13.780885995737082,0.0,0.0,0.0,0.2563324583446494,0.24923094011767322,1.3
1968-02-01,1802.6499999999999,142.99,59.755,20298.7,0.0,0.0,0.0,87.3,4554.4,824.37,157.05,46445.2,5902.6,967.36,203.54,66743.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,792,2784,3576,77.16,22.84,0.0,0.0,3.38,13,9160.65,319.87,304.34000000000003,244518.0,31,0,3.9279038718291055,-22.599575010788207,True,0.0,0.0,12148.275,0.647503591954023,11.566477272727273,17.863186268700375,5.747787246222133e-06,4.507893108648553e-06,44162927.814375,-4.021688187621084,12.045993093153749,0.0,0.0,0.0,0.11878236768616954,0.07691200973759825,3.515151515151515
1968-03-01,2391.875,1276.97,79.5625,21880.7,0.0,0.0,0.0,87.3,4247.3,2457.94,137.01,50692.5,5829.3,3734.91,188.04,72573.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,960,1224,2184,72.86,27.14,0.0,0.0,2.68,13,12795.974999999999,681.87,426.025,255141.5,32,0,6.715233881163084,-20.26008142921849,True,0.0,0.0,14540.15,1.9541462418300655,13.329140624999999,6.820953488372092,8.028747076678755e-06,5.98137011025366e-06,52858170.79874998,2.787330009333979,11.660573016402584,0.0,0.0,0.0,0.40138602184947164,0.7843669861202656,1.275
