ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,DeltaMonInjSteam(m3),delta_wells,delta_SOR,delta_delta_SOR,CumPrdHours(hr),cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj,delta_OCT(%),delta_steam,delta_oil,delta_lnncg,delta_ncg,CalInjGas(m3/d),delta_PrdHours,delta_Inj/PrdHours,delta_cSOR,delta_delta_cSOR,scale,oil/wellhours(m3/d/well/hr),steam/wellhours(m3/d/well/hr),daily_sor,delta_sor_wellhour,Ncg/steam,lnncg,lnncg/steam,ncg/scale,oil/scale,Ncg/oil,OilRate/lnncg,cumsteam/oil,SteamRate/PrdHours,CumPrdHours(hr)/OilRate,CumOil/CumPrdHours,PrdHours(hr)/wells,min_sor,CumSteam/Months,cum_injected_volume,cum_produced_volume,system_volume,NCG_6_month_avg,SOR_6_month_avg,OIL_6_month_avg
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11872,0,11872,0.0,0.0,0.0,0.0,0.0,21,74798.8,3025.17,2412.86,77242.1,1,0,inf,0.0,0.0,0.0,0.0,6.300438005390836,0.0,0.0,9.0,0.0,0.0,0,inf,0.0,0.0,0.0,2.1001460017969453,0.0,0.0,0.0,2328.61,0.0,0.0,0.0,0.0,0.0,10864.0,0.0,0.0,2.1001460017969453,0.0,1148.9010754183223,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,inf,77242.1,77242.1,0.0,77242.1,0.0,0.0,0.0
2016-04-01,2434.6,199.32,81.15,2434.6,182.3,14.91,6.08,182.3,12198.3,1204.61,406.61,12198.3,14632.9,1403.92,487.76,14632.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8964,2247,11211,83.36,16.64,74.88,66.91,5.01,24,62369.4,4365.45,2078.98,139611.5,2,0,25.617924915797257,0.0,0.0,2434.6,1.0834890965732087,6.957764390896921,6.421628434381575,-30260617.240000002,3.0,-inf,0.0,2247,57.344738355376656,0.0,0.0,0.0,0.9996925806587161,1.0831560110688518,0.250669344042838,16.64,-333.8800000000001,81.15,0.0,0.0,0.0,2247.0,-661.0,-inf,0.0,0.9996925806587161,81.17495475111834,2079.6193152,25.61897720271103,-inf,0.0,0.0,0.0,0.0,81.17495475111834,0.0,inf,62.13239875389408,0.0030964683537591992,2073.8556641748132,1.173948622393028,93.625,25.61897720271103,69805.75,139611.5,196932.9,-57321.399999999994,0.0,0.0,0.0
2016-05-01,28500.1,1093.64,919.36,30934.7,370.5,14.22,11.95,552.8,78624.7,3131.39,2536.28,90823.0,107124.8,4225.03,3455.64,121757.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8232,6838,15070,73.4,26.6,13.0,212.21,2.76,24,77422.4,3034.55,2497.5,217033.9,3,0,2.716565906786292,0.0,0.0,30934.699999999997,4.167899970751682,9.405053449951408,2.2565449065360377,465660039.0999997,0.0,-22.901359009010964,inf,9085,7.015872143579863,0.0,0.0,0.0,1.9065183807094697,7.946177903196543,0.8306608357628765,9.96,418.52,838.21,0.0,0.0,0.0,4591.0,3859.0,-50.32886621179679,inf,1.9065183807094697,482.2193215141624,1309.9795025687658,2.716563696484511,-22.90241350622652,0.0,0.0,0.0,0.0,482.2193215141624,0.0,inf,29.241453302024052,0.001375409980981487,2179.754807877867,14.191825561388228,284.9166666666667,2.716563696484511,72344.63333333333,217033.9,674557.7,-457523.79999999993,0.0,0.0,0.0
2016-06-01,52498.8,1856.17,1749.96,83433.5,481.0,17.01,16.03,1033.8,101947.4,3594.59,3398.25,192770.4,154446.2,5450.77,5148.21,276203.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8510,8148,16658,66.01,33.99,9.16,211.95,1.94,28,112093.3,4357.81,3736.44,329127.2,4,0,2.135159279831158,0.0,0.0,83433.5,6.443151693667158,13.171950646298473,2.0443334679276473,2892714535.1500006,4.0,-0.5814066269551339,22.31995238205583,17233,3.944784768708013,0.0,0.0,0.0,3.0667075763463285,19.75926211451775,0.9574618096357227,7.390000000000001,1238.94,830.6,0.0,0.0,0.0,1310.0,1588.0,-3.0710873748718504,47.25777883692494,3.0667075763463285,570.6315181458873,1218.3880943913114,2.135157375025715,-0.5814063214587959,0.0,0.0,0.0,0.0,570.6315181458873,0.0,inf,25.41684666365344,0.0016165869718088456,2674.6227342339253,31.19449293991637,291.0,2.135157375025715,82281.8,329127.2,1310003.9,-980876.7,0.0,0.0,0.0
2016-07-01,61726.7,2074.71,1991.18,145160.2,447.0,15.0,14.42,1480.8,112390.4,3924.44,3625.5,305160.8,174117.1,5999.15,5616.68,450321.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11180,8694,19874,64.55,35.45,7.24,251.43,1.82,28,135377.8,4444.15,4367.03,464505.0,5,0,2.193180584738857,0.0,0.0,145160.2,7.099919484702093,12.108926654740607,1.7055019681323453,3379982676.899998,0.0,0.058021304907698745,0.6394279318628326,25927,3.1999473684935675,0.0,0.0,0.0,2.878762373057105,20.438981064295376,0.7776386404293381,1.4600000000000009,630.5899999999997,241.22000000000003,0.0,0.0,0.0,546.0,3216.0,-0.7448374002144456,2.326249974657405,2.878762373057105,691.6791808298732,1516.9817560740269,2.193186954469209,0.05802957944349396,0.0,0.0,0.0,0.0,691.6791808298732,0.0,inf,22.719368671588672,0.001392791195622338,3651.731552148422,39.751059990868704,310.5,2.193186954469209,92901.0,464505.0,1931121.0,-1466616.0,0.0,0.0,790.275
2016-08-01,68676.3,2323.25,2215.36,213836.5,529.1,17.9,17.07,2009.9,126472.7,4337.9,4079.76,431633.5,195149.0,6661.15,6295.13,645470.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10293,9669,19962,64.81,35.19,7.7,239.03,1.84,28,133120.0,4315.68,4294.19,597625.0,6,0,1.938368840487912,0.0,0.0,213836.5,7.102730375426622,12.933061303798699,1.820857701221959,-482800049.6999975,0.0,-0.25481174425094477,-0.3128330491586435,35596,2.794775447596645,0.0,0.0,0.0,3.0639629871326717,21.762502977890115,0.9393762751384436,-0.2600000000000051,-72.84000000000015,224.18000000000006,0.0,0.0,0.0,975.0,88.0,-0.40517192089692244,0.3396654793175231,3.0639629871326717,723.0374548594616,1401.5149719607427,1.9383711902354468,-0.25481576423376207,0.0,0.0,0.0,0.0,723.0374548594616,0.0,inf,19.850536464141225,0.0013375800293514012,5011.593868627168,42.668361723927255,345.32142857142856,1.9383711902354468,99604.16666666667,597625.0,2655370.0,-2057745.0,0.0,0.0,1159.5016666666668
2016-09-01,69195.4,2458.26,2306.51,283031.9,507.7,18.04,16.92,2517.6,127711.5,4484.11,4257.05,559345.0,196906.9,6942.37,6563.56,842376.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7003,9315,16318,64.86,35.14,7.34,251.55,1.85,28,130797.7,6275.57,4359.92,728422.7,7,0,1.8902658269191306,0.0,0.0,283031.9,7.42838432635534,18.677381122376126,2.5143261713196776,-657284981.3700008,0.0,-0.04810301356878144,0.20670873068216333,44911,2.573641699045231,0.0,0.0,0.0,4.417127311128589,32.81211928550372,1.330144223904041,-0.04999999999999716,65.73000000000047,91.15000000000009,0.0,0.0,0.0,-354.0,-3644.0,-0.2211337485514142,0.18403817234550823,4.417127311128589,522.1742181143246,987.0487520283918,1.8902671135178255,-0.04810407671762129,0.0,0.0,0.0,0.0,522.1742181143246,0.0,inf,19.117999658842123,0.0020050865402443507,6045.863814646638,46.814137512381656,332.67857142857144,1.8902671135178255,104060.3857142857,728422.7,3359976.9,-2631554.2,0.0,6.081910892426767,1543.92
2016-10-01,68545.4,2357.55,2211.14,351577.3,566.3,19.48,18.27,3083.9,131320.8,4429.73,4236.15,690665.8,199866.2,6787.28,6447.3,1042243.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10416,9911,20327,65.7,34.3,8.26,231.89,1.92,28,145980.6,4709.05,4709.05,874403.3,8,0,2.1296921456436175,0.0,0.0,351577.30000000005,6.916093229744727,14.015034562211982,2.026438062161472,5337962988.170004,0.0,0.23942631872448694,0.2875293322932684,54822,2.4870869080569196,0.0,0.0,0.0,3.274344936894425,22.64567484990446,0.9515168970814132,-0.8400000000000034,349.1300000000001,-95.37000000000035,0.0,0.0,0.0,596.0,4009.0,-0.08655479098831131,0.1345789575631029,3.274344936894425,675.2923233851993,1438.1655234119382,2.1296932803893016,0.2394261668714761,0.0,0.0,0.0,0.0,675.2923233851993,0.0,inf,17.200924926599207,0.0014140888469591345,7926.729466893476,44.3533870391801,353.9642857142857,2.1296932803893016,109300.4125,874403.3,4126143.1,-3251739.8,0.0,2.1672054307344943,1898.9183333333333
2016-11-01,73640.0,2507.17,2454.67,425217.3,723.3,24.63,24.11,3807.2,134922.6,4567.02,4497.42,825588.4,208562.6,7074.19,6952.09,1250805.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10080,9912,19992,64.69,35.31,9.82,186.54,1.83,28,142137.9,4737.93,4737.93,1016541.2,9,0,1.9301724606192285,0.0,0.0,425217.30000000005,7.429378531073446,14.100982142857143,1.8980029196089083,-1633982518.710005,0.0,-0.199519685024389,-0.43894600374887593,64734,2.3906393272333935,0.0,0.0,0.0,3.3464958085940433,24.862384114695857,0.9833333333333333,1.0100000000000051,28.88000000000011,243.5300000000002,0.0,0.0,0.0,1.0,-335.0,-0.09644758082352611,-0.0098927898352148,3.3464958085940433,733.5045792366541,1415.788416,1.9301698395303644,-0.19952344085893725,0.0,0.0,0.0,0.0,733.5045792366541,0.0,inf,17.760964493287638,0.0014226172460509627,8713.245627376426,48.80125250503626,354.0,1.9301698395303644,112949.02222222222,1016541.2,5058005.7,-4041464.5,0.0,2.036139856373317,2154.8033333333333
2016-12-01,72268.1,2371.11,2331.23,497485.4,813.2,26.68,26.23,4620.4,139349.4,4557.29,4495.14,964937.8,211617.5,6928.4,6826.37,1462423.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10416,10274,20690,65.85,34.15,11.25,171.36,1.93,28,150133.6,4843.02,4843.02,1166674.8,10,0,2.077453260843996,0.0,0.0,497485.4,7.034076309129843,14.413748079877113,2.0491316054062225,3977744012.780006,0.0,0.14728080022476742,0.3468004852491564,75008,2.345143797184802,0.0,0.0,0.0,3.361653456746261,23.646126939603317,0.9863671274961597,-1.1600000000000037,105.09000000000015,-123.44000000000005,0.0,0.0,0.0,362.0,698.0,-0.045495530048591526,0.05095205077493459,3.361653456746261,693.4771921006974,1440.6660479178458,2.0774526751972138,0.1472828356668494,0.0,0.0,0.0,0.0,693.4771921006974,0.0,inf,16.495920425280417,0.0014029344052829582,10663.518094428937,46.65302722746886,366.92857142857144,2.0774526751972138,116667.48000000001,1166674.8,6082823.2,-4916148.4,0.0,2.0265221865421235,2251.681666666667
