ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,DeltaMonInjSteam(m3),delta_wells,delta_SOR,delta_delta_SOR,CumPrdHours(hr),cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj,delta_OCT(%),delta_steam,delta_oil,delta_lnncg,delta_ncg,CalInjGas(m3/d),delta_PrdHours,delta_Inj/PrdHours,delta_cSOR,delta_delta_cSOR,scale,oil/wellhours(m3/d/well/hr),steam/wellhours(m3/d/well/hr),daily_sor,delta_sor_wellhour,Ncg/steam,lnncg,lnncg/steam,ncg/scale,oil/scale,Ncg/oil,OilRate/lnncg,cumsteam/oil,SteamRate/PrdHours,CumPrdHours(hr)/OilRate,CumOil/CumPrdHours,PrdHours(hr)/wells,min_sor,CumSteam/Months,cum_injected_volume,cum_produced_volume,system_volume,NCG_6_month_avg,SOR_6_month_avg,OIL_6_month_avg
2016-07-01,496.1,16.09,16.0,2248762.8,35.2,1.15,1.14,40128.8,3401.1,109.71,109.71,7400212.5,3897.2,125.8,125.72,9648975.3,0,0,0,0,0,0,0,0,0,0,0,0,6788,5088,11876,87.27,12.73,70.95,96.62,6.86,37,31011.3,1283.43,1000.36,46934.3,1,0,62.51017939931465,0,0,883.9000000000001,0.09750393081761007,4.568547436652917,46.85500777603314,13336548.370000001,0.0,21.450354747432236,0.0,9579,0.020871165246952685,0.0,0.0,0.0,0.5116078324686149,0.04988377470276727,0.7495580436063641,2.16,469.59000000000003,3.0700000000000003,0.0,0.0,0,597.0,2068.0,0.013788820434391079,0.0,0.5116078324686149,31.27395435444499,1955.325811125787,62.5225,21.473002706883214,0.0,0,0.0,0.0,31.27395435444499,0.0,inf,5.177371580691205,0.0008979063358201488,98242.19310622859,0.00899715256808493,137.51351351351352,62.5225,46934.3,46934.3,49777775.3,-49730841.0,0.0,0.0,0.0
2016-08-01,1963.6,104.87,63.34,2250726.4,57.9,2.19,1.87,40186.7,23204.5,953.72,748.53,7423417.0,25168.1,1058.59,811.87,9674143.4,0,0,0,0,0,0,0,0,0,0,0,0,1380,8029,9409,92.2,7.8,29.49,400.77,11.82,37,5701.9,887.59,183.93,52636.2,2,0,2.9037991444286004,0,0,2847.5,0.24456345746668326,4.131811594202898,16.89464009465017,-72068516.5,0.0,-59.60638025488605,-81.05673500231828,17608,0.023386316524300777,0.0,0.0,0.0,0.26550141407173455,0.06493194378767692,5.818115942028985,-4.930000000000001,-816.4300000000001,47.34,0.0,0.0,0,2941.0,-2467.0,0.0025151512773480926,-0.011273669157042986,0.26550141407173455,238.56746760258864,692.7646718683948,2.9038522260814648,-59.61864777391854,0.0,0,0.0,0.0,238.56746760258864,0.0,inf,4.520769467921978,0.0005146109844567068,71997.67366062335,0.03954988897866769,217.0,2.9038522260814648,26318.1,52636.2,49860843.4,-49808207.199999996,0.0,0.0,0.0
2016-09-01,7379.2,356.31,245.97,2258105.6,80.8,3.17,2.69,40267.5,54223.8,2367.08,1807.46,7477640.8,61603.0,2723.38,2053.43,9735746.4,0,0,0,0,0,0,0,0,0,0,0,0,6120,9050,15170,88.02,11.98,10.95,671.09,7.35,37,28997.1,1011.21,966.57,81633.3,3,0,3.929572311361665,0,0,10226.7,0.8153812154696133,4.738088235294118,5.810887159775011,238233021.83999997,0.0,1.0257731669330648,60.63215342181911,26658,0.03615123225415144,0.0,0.0,0.0,0.49888266633964223,0.406779554856739,1.4787581699346406,4.180000000000001,782.6400000000001,182.63,0.0,0.0,0,1021.0,5761.0,0.012764915729850664,0.010249764452502572,0.49888266633964223,493.04178436326384,1937.4696,3.9296255640931825,1.0257733380117178,0.0,0,0.0,0.0,493.04178436326384,0.0,inf,6.508674291491447,0.0005235456613584661,32693.909908933216,0.3128013758062531,244.59459459459458,3.9296255640931825,27211.100000000002,81633.3,50003246.4,-49921613.1,0.0,0.0,0.0
2016-10-01,16464.7,550.57,531.12,2274570.3,138.6,4.75,4.47,40406.1,82744.5,2766.38,2669.18,7560385.3,99209.2,3316.95,3200.3,9834955.6,0,0,0,0,0,0,0,0,0,0,0,0,4006,13718,17724,83.4,16.6,8.42,597.0,5.03,37,46345.2,1768.22,1495.01,127978.5,4,0,2.814822013155417,0,0,26691.4,1.2002259804636244,11.568946580129804,9.638973633666005,463045076.34,0.0,-1.114750298206248,-2.140523465139313,40376,0.05626491298158602,0.0,0.0,0.0,1.6575048941865143,1.989380436748265,3.4243634548177733,4.620000000000001,528.4399999999999,285.15,0.0,0.0,0,4668.0,2554.0,0.02011368072743458,0.0073487649975839155,1.6575048941865143,320.4334429797675,901.9641542197286,2.814825274890797,-1.1148002892023854,0.0,0,0.0,0.0,320.4334429797675,0.0,inf,5.754779466073864,0.0008433406167174372,33640.33161855363,0.7934345089891714,370.7567567567568,2.814825274890797,31994.625,127978.5,50241055.6,-50113077.1,0.0,0.0,0.0
2016-11-01,20658.4,694.73,688.61,2295228.7,266.1,8.93,8.87,40672.2,94005.5,3193.93,3133.52,7654390.8,114663.9,3888.65,3822.13,9949619.5,0,0,0,0,0,0,0,0,0,0,0,0,4502,12008,16510,81.98,18.02,12.88,353.27,4.55,34,60803.1,2134.07,2026.77,188781.6,5,0,2.943262788986562,0,0,47349.8,1.7203864090606265,13.505797423367392,7.850444151521687,684578673.4200001,-3.0,0.128440775831145,1.243191074037393,52384,0.0822495814905068,0.0,0.0,0.0,2.073795016332554,3.567728761276186,2.667258996001777,1.4199999999999982,531.76,157.49,0.0,0.0,0,-1710.0,-1214.0,0.025984668508920783,0.005870987781486203,2.073795016332554,332.0530691687102,977.3241733333334,2.943277036348586,0.12845176145778892,0.0,0,0.0,0.0,332.0530691687102,0.0,inf,6.859106034676378,0.0011247332964163385,30448.973395809935,1.5550540697873176,353.1764705882353,2.943277036348586,37756.32,188781.6,50621819.5,-50433037.9,0.0,19.360243384854886,259.6616666666667
2016-12-01,21319.8,710.5,687.74,2316548.5,256.6,8.79,8.28,40928.8,90746.9,3390.68,2927.32,7745137.7,112066.7,4101.19,3615.05,10061686.2,0,0,0,0,0,0,0,0,0,0,0,0,5208,11684,16892,80.98,19.02,12.04,353.65,4.26,32,70482.0,2273.61,2273.61,259263.6,6,0,3.3059409562941493,0,0,68669.6,1.824700445053064,13.533410138248849,7.416784587815062,664646191.4400002,-2.0,0.3626781673075872,0.23423739147644218,64068,0.1119180539496583,0.0,0.0,0.0,2.1690576606379253,3.95788047871178,2.2434715821812596,1.0,246.84000000000015,-0.8700000000000045,0.0,0.0,0,-324.0,382.0,0.029668472459151496,0.003683803950230713,2.1690576606379253,317.0685650642104,1048.2017335266808,3.305915026027278,0.36263798967869176,0.0,0,0.0,0.0,317.0685650642104,0.0,inf,6.889197058175081,0.001158285701664571,35111.51661835477,1.955757159293499,365.125,3.305915026027278,43210.6,259263.6,50990486.2,-50731222.6,0.0,13.067929435590175,372.12999999999994
2017-01-01,21440.3,712.42,691.62,2337988.8,271.7,9.02,8.76,41200.5,96323.4,3451.73,3107.21,7841461.1,117763.7,4164.14,3798.83,10179449.9,0,0,0,0,0,0,0,0,0,0,0,0,5208,11614,16822,81.79,18.21,12.67,354.52,4.49,31,76169.6,2457.08,2457.08,335433.2,7,0,3.5526368567604,0,0,90109.90000000001,1.8460737041501636,14.625499231950846,7.922489334565147,512509067.24000055,-1.0,0.24669590046625078,-0.11598226684133639,75682,0.14347083270886501,0.0,0.0,0.0,2.265585960747735,4.182438666628178,2.2300307219662057,-0.8099999999999987,183.4699999999998,3.8799999999999955,0.0,0.0,0,-70.0,-70.0,0.031552778759206715,0.001884306300055219,2.265585960747735,305.2720187989413,1084.5229634054865,3.5526445157745576,0.24672948974727982,0.0,0,0.0,0.0,305.2720187989413,0.0,inf,6.871990869138048,0.0012592990556182923,40996.19632187983,2.1980063538701518,374.64516129032256,3.5526445157745576,47919.02857142857,335433.2,51379949.9,-51044516.699999996,0.0,3.241672345164466,484.73333333333335
2017-02-01,20960.4,781.97,748.59,2358949.2,285.8,10.6,10.21,41486.3,71821.2,3276.41,2565.04,7913282.3,92781.6,4058.38,3313.63,10272231.5,0,0,0,0,0,0,0,0,0,0,0,0,4704,9666,14370,77.41,22.59,13.64,251.3,3.43,31,62657.0,2237.75,2237.75,398090.2,8,0,2.9893036392435257,0,0,111070.30000000002,2.16846679081316,13.319940476190476,6.142561432170051,-1500848535.780001,0.0,-0.5633332175168744,-0.8100291179831252,85348,0.1687574280955266,0.0,0.0,0.0,2.424321601200677,5.257060882454653,2.05484693877551,4.379999999999999,-219.32999999999993,56.97000000000003,0.0,0.0,0,-1948.0,-2452.0,0.025286595386661587,-0.006266183372545128,2.424321601200677,308.7832899848151,923.041728,2.9892865253342955,-0.5633579904402621,0.0,0,0.0,0.0,308.7832899848151,0.0,inf,7.772063084804568,0.0013780199127033392,39358.68437625236,2.8220023550130633,311.80645161290323,2.9892865253342955,49761.275,398090.2,51758531.5,-51360441.3,0.0,3.2559230943002864,598.9416666666666
2017-03-01,27363.1,890.62,882.68,2386312.3,325.2,10.51,10.49,41811.5,71860.7,2472.2,2318.09,7985143.0,99223.8,3362.82,3200.77,10371455.3,0,0,0,0,0,0,0,0,0,0,0,0,5085,11211,16296,72.42,27.58,11.88,220.97,2.63,31,62099.4,2053.2,2003.21,460189.6,9,0,2.269457773424795,0,0,138433.40000000002,2.4407367763803407,12.212271386430679,5.0035184066598575,-77190463.83999981,0.0,-0.7198458658187308,-0.1565126483018564,96559,0.19284550475643947,0.0,0.0,0.0,2.5292709984538653,6.173284743358573,2.2047197640117995,4.989999999999998,-234.53999999999996,134.08999999999992,0.0,0.0,0,1545.0,1926.0,0.024088076660912866,-0.0011985187257487206,2.5292709984538653,348.9859333142155,792.0108209933042,2.269463452213713,-0.7198230731205824,0.0,0,0.0,0.0,348.9859333142155,0.0,inf,8.113661015533522,0.0010893115142655142,39561.41478852908,3.4992024612865738,361.64516129032256,2.269463452213713,51132.177777777775,460189.6,52182955.3,-51722765.699999996,0.0,2.979237337977475,705.06
2017-04-01,26101.6,873.58,870.05,2412413.9,287.1,9.6,9.57,42098.6,66509.9,2225.48,2217.0,8051652.9,92611.5,3099.06,3087.05,10464066.8,0,0,0,0,0,0,0,0,0,0,0,0,4440,9344,13784,71.82,28.18,11.0,231.66,2.55,29,61721.2,2103.26,2057.37,521910.8,10,0,2.3646519753578326,0,0,164535.00000000003,2.793407534246575,13.901171171171171,4.976420733726033,-62227137.00000073,-2.0,0.09519420193303763,0.8150400677517684,105903,0.21634380402135803,0.0,0.0,0.0,2.9175945874094724,8.150030702346648,2.1045045045045043,0.6000000000000014,54.159999999999854,-12.629999999999995,0.0,0.0,0,-1867.0,-2512.0,0.02349829926491856,-0.0005897773959943065,2.9175945874094724,298.20798398605336,705.1596575063348,2.364657203608988,0.09519375139527497,0.0,0,0.0,0.0,298.20798398605336,0.0,inf,8.86078682909203,0.0014877109558188324,37911.761424587,4.339946069962705,322.2068965517241,2.364657203608988,52191.08,521910.8,52562666.8,-52040756.0,0.0,2.904208998344544,761.5483333333333
