ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonthlyGas(E3m3),MonthlyWater(m3)
0,0.0,0.0,0.0,0.0
2012-05-01,25530.5,0.0,0.0,0.0
2012-06-01,27086.5,1575.5,1.7999999999999998,3726.1000000000004
2012-07-01,30714.2,12306.4,121.6,24340.8
2012-08-01,34313.5,20296.3,156.4,33938.4
2012-09-01,34467.7,20198.7,204.8,33560.7
2012-10-01,34752.799999999996,23087.7,270.1,37576.9
2012-11-01,39509.7,24471.7,291.79999999999995,39110.3
2012-12-01,43057.799999999996,27068.0,288.6,45098.8
2013-01-01,41736.0,28270.7,374.4,46511.8
2013-02-01,32707.8,24889.399999999998,347.7,39478.7
2013-03-01,45481.6,22998.0,349.8,46164.0
2013-04-01,44586.9,24933.4,459.9,49365.9
2013-05-01,44063.6,23049.5,414.79999999999995,49376.8
2013-06-01,34133.7,14390.8,256.4,33722.2
2013-07-01,47048.6,23031.8,395.2,50053.6
2013-08-01,45932.0,25076.2,470.7,48213.7
2013-09-01,47479.1,26735.5,817.2,47416.8
2013-10-01,51283.7,23207.6,642.1,48522.9
2013-11-01,48283.3,21686.4,715.4,48558.1
2013-12-01,50815.8,22219.1,735.4,51033.2
2014-01-01,50995.1,22602.3,718.8,52591.100000000006
2014-02-01,47117.299999999996,20955.3,700.8,48676.4
2014-03-01,50385.700000000004,21876.8,731.7,50474.2
2014-04-01,49925.700000000004,20265.0,644.7,44709.7
2014-05-01,51411.700000000004,23221.2,647.1,54798.6
2014-06-01,42330.3,17232.0,402.8,40988.8
2014-07-01,51389.9,22426.8,452.3,52339.6
2014-08-01,53102.9,21894.8,552.9,54961.8
2014-09-01,52321.1,20625.4,594.9,53925.4
2014-10-01,54321.4,21899.0,708.0,57192.5
2014-11-01,52874.0,20503.9,739.1,54755.4
2014-12-01,53805.6,21031.0,844.6,56432.7
2015-01-01,54079.8,20687.3,959.6,55547.3
2015-02-01,47339.4,17519.8,923.3,48183.5
2015-03-01,54840.7,19881.0,908.1,53358.8
2015-04-01,51790.9,18779.7,871.6,52367.4
2015-05-01,53626.5,19570.1,995.2,55877.4
2015-06-01,44184.2,14212.0,557.4,46637.6
2015-07-01,53897.2,18787.9,927.9,56703.6
2015-08-01,56131.7,19333.3,958.8,57973.2
2015-09-01,55006.5,18649.5,855.3,56519.2
2015-10-01,54603.600000000006,18609.5,821.4,57489.0
2015-11-01,50163.0,17794.2,884.0,55946.1
2015-12-01,54654.2,18218.9,1005.5,59438.4
2016-01-01,56889.9,17032.4,1030.7,60046.0
2016-02-01,50325.5,16050.300000000001,937.6,58327.1
2016-03-01,56104.5,20051.3,995.9,65157.8
2016-04-01,51160.3,18870.2,912.0,62099.5
2016-05-01,54322.0,20323.5,844.5,64919.2
2016-06-01,51924.0,20535.6,956.1,58571.2
2016-07-01,50470.700000000004,20541.9,980.0,57268.6
2016-08-01,56652.6,19785.0,1056.2,60022.700000000004
2016-09-01,51787.1,20843.6,957.6,59825.8
2016-10-01,55788.6,24276.2,968.7,65666.6
2016-11-01,52835.9,24271.8,892.7,59998.7
2016-12-01,55599.8,24897.3,947.0,62627.5
2017-01-01,56038.0,24938.7,990.1,63532.3
2017-02-01,49039.2,21697.6,907.6,56750.3
2017-03-01,55461.6,23362.4,998.6,62659.5
2017-04-01,53616.4,21964.3,972.5,60276.899999999994
2017-05-01,38961.8,14553.8,537.9,43388.9
2017-06-01,51710.4,20927.9,946.3,62293.9
2017-07-01,54183.6,19953.2,933.0999999999999,63328.0
2017-08-01,56376.0,18371.1,895.3,67410.5
2017-09-01,54352.0,21286.9,943.6,74476.4
2017-10-01,56179.5,21907.8,975.4000000000001,76956.3
2017-11-01,53322.0,19579.2,935.7,70467.1
2017-12-01,56195.3,20019.7,982.4,78218.3
2018-01-01,53474.2,22721.6,651.3,74599.0
2018-02-01,44337.5,18412.6,433.3,51105.1
2018-03-01,47692.1,21855.9,484.5,60293.3
2018-04-01,44679.8,20144.7,516.6,57573.3
2018-05-01,45417.2,18063.0,538.6,58037.6
2018-06-01,46342.9,19813.0,727.4,65345.200000000004
2018-07-01,47765.4,18571.3,712.1,63926.2
2018-08-01,45400.5,16530.8,785.5,64984.4
2018-09-01,45268.5,14075.6,728.9000000000001,57335.399999999994
2018-10-01,55681.6,16288.2,890.0,69611.4
2018-11-01,52116.299999999996,14510.6,921.4,73837.3
2018-12-01,49041.9,17020.0,852.9,91258.6
2019-01-01,48386.6,16383.5,789.9,84185.9
2019-02-01,42214.0,15167.9,704.1,78151.6
2019-03-01,48974.7,15345.8,720.8,83498.8
2019-04-01,47497.7,12415.6,561.2,82983.9
2019-05-01,47924.1,13207.8,560.0,67463.0
2019-06-01,43611.8,10283.6,232.9,36561.0
2019-07-01,49068.399999999994,11707.0,45.9,34556.8
2019-08-01,49214.8,14562.3,100.2,51123.3
2019-09-01,32821.9,9830.4,62.9,41324.7
2019-10-01,62944.2,14079.5,436.2,65407.7
2019-11-01,50366.0,11754.9,548.0,63126.299999999996
2019-12-01,49083.1,11748.2,522.9,70418.5
2020-01-01,50807.3,10481.599999999999,616.7,72947.4
2020-02-01,46451.6,11195.1,438.0,66479.5
2020-03-01,49583.1,14365.4,446.6,63773.0
2020-04-01,36733.4,13535.8,373.3,50573.7
