ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
2013-05-01,23049.5,744.05,743.53,253145.3,414.8,13.39,13.38,3281.7,49376.8,1593.79,1592.8,448249.2,72426.3,2337.84,2336.33,701394.5,0,0,0,0,0,0,0.0,0,0,0,0,0,4318,4461,8779,68.18,31.82,18.0,119.04,2.14,12,44063.6,1469.49,1421.41,478008.6,12,0,1.91169439684158,6.903689366629773,False,0,0,23049.5,5.166890831652096,10.20463177396943,1.9750043317068755,0.007133322347684078,0.009863200644232883,,,1.8882776018357836,0.0,0.0,0.0,1.1622001499965127,6.004961299561672,1.0331171838814266
2013-06-01,23040.65,633.58,743.245,267536.1,256.4,11.29,8.55,3538.1,33722.2,1484.74,1124.07,481971.4,48113.0,2118.32,1603.77,749507.5,0,0,0,0,0,0,0.0,0,0,0,0,0,3354,3270,6624,70.09,29.91,17.82,131.52,2.34,12,45556.1,1465.49,1469.555,512142.3,13,0,2.371911221057898,-3.4865318702813175,True,0,0,46090.15,7.046070336391438,13.582617769827072,1.9276869405739214,0.0073749386387705635,0.009859413606522675,68789548.875,0.46021682421631804,1.914292314196103,0.0,0.0,0.0,1.531879635463994,10.793731658364978,0.9749552772808586
2013-07-01,23031.8,751.04,742.96,290567.9,395.2,12.89,12.75,3933.3,50053.6,1632.18,1614.63,532025.0,73085.4,2383.22,2357.59,822592.9,0,0,0,0,0,0,0.0,0,0,0,0,0,4434,4416,8850,68.49,31.51,17.16,126.65,2.17,12,47048.6,1527.97,1517.7,559190.9,14,0,2.042766956989901,-13.876753107192407,False,0,0,69121.95,5.215534420289855,10.61087054578259,2.034474262983176,0.00761655492985705,0.009855626568812465,103164510.375,-0.3291442640679971,1.924475828197127,0.0,0.0,0.0,1.1671371482364843,6.087243969826327,0.9959404600811907
2013-08-01,25076.2,819.06,808.91,315644.1,470.7,15.37,15.18,4404.0,48213.7,1574.38,1555.28,580238.7,73289.9,2393.44,2364.19,895882.8,0,0,0,0,0,0,0.0,0,0,0,0,0,4434,4409,8843,65.78,34.22,18.77,102.43,1.92,12,45932.0,1491.7,1481.68,605122.9,15,0,1.8316969875818505,-10.332552555043794,False,0,0,94198.15,5.687502835110003,10.359043752819124,1.8213694222481682,0.007435791947862296,0.01073045367556401,-105181654.28999986,-0.21106996940805045,1.917105055979187,0.0,0.0,0.0,1.3287763243857384,7.557419112170936,0.994361750112765
2013-09-01,26735.5,893.47,891.18,342379.6,817.2,27.31,27.24,5221.2,47416.8,1583.9,1580.56,627655.5,74152.3,2477.38,2471.74,970035.1,0,0,0,0,0,0,0.0,0,0,0,0,0,4320,4311,8631,63.95,36.05,30.57,58.02,1.77,12,47479.1,1582.64,1582.64,652602.0,16,0,1.7758822539320378,-3.047159766501417,False,0,0,120933.65,6.201693342611923,10.990532407407407,1.772182499236346,0.0076862472670850114,0.011440491152688269,187096449.9149998,-0.05581473364981271,1.9060773480662985,0.0,0.0,0.0,1.4873535938589846,9.224110881145183,0.9979166666666667
2013-10-01,24210.95,757.8,807.03,365587.2,642.1,20.97,20.71,5863.3,48522.9,1584.42,1565.25,676178.4,71730.5,2342.22,2313.89,1041765.6,0,0,0,0,0,0,0.0,0,0,0,0,0,4429,4410,8839,67.65,32.35,27.67,75.57,2.09,12,47881.2,1667.12,1596.04,703885.7,17,0,2.209780416760027,-1.1468045000376625,True,0,0,145144.6,5.490011337868481,10.810837660871528,1.9691831210441324,0.007751342014586436,0.010360201203387931,58362643.65999979,0.433898162827989,1.9253565223290092,0.0,0.0,0.0,1.2455150972154245,6.837892005199044,0.9957100925716866
2013-11-01,21686.4,738.62,722.88,387273.6,715.4,24.37,23.85,6578.7,48558.1,1653.83,1618.6,724736.5,70244.5,2392.45,2341.48,1112010.1,0,0,0,0,0,0,0.0,0,0,0,0,0,4320,4228,8548,69.13,30.87,32.99,67.88,2.24,12,48283.3,1609.44,1609.44,752169.0,18,0,2.2264322340268556,0.7535507664260921,False,0,0,166831.0,5.129233680227058,11.176689814814816,2.179017473487395,0.007816436762087861,0.009279911254087595,67082745.10000097,0.01665181726682885,1.9422160457103197,0.0,0.0,0.0,1.1342080674424049,5.817618219910826,0.9787037037037037
2013-12-01,22219.1,723.08,716.75,409492.7,735.4,23.93,23.72,7314.1,51033.2,1662.18,1646.23,775769.7,73252.3,2385.27,2362.98,1185262.4,0,0,0,0,0,0,0.0,0,0,0,0,0,4448,4419,8867,69.67,30.33,33.1,69.4,2.3,12,50815.8,1644.25,1639.22,802984.8,19,0,2.2870323280420903,2.721847675805056,False,0,0,189050.1,5.028083276759448,11.4244154676259,2.2721213708673553,0.008226415493864428,0.009507860970271582,478769378.25,0.060600094015234696,1.9609257991656506,0.0,0.0,0.0,1.1005741970755698,5.533778715148629,0.9934802158273381
2014-01-01,22602.3,733.19,729.11,432095.0,718.8,23.32,23.19,8032.9,52591.1,1706.08,1696.49,828360.8,75193.4,2439.27,2425.59,1260455.8,0,0,0,0,0,0,0.0,0,0,0,0,0,4464,4439,8903,69.94,30.06,31.8,73.17,2.33,12,50995.1,1645.0,1645.0,853979.9,20,0,2.256190741650186,-1.3485417767709396,False,0,0,211652.4,5.091754899752196,11.423633512544802,2.243555264826428,0.008255441826187246,0.009671837563554303,37949275.31999908,-0.030841586391904485,1.9763707055161481,0.0,0.0,0.0,1.1088664147464982,5.646076000456133,0.994399641577061
2014-02-01,20955.3,751.07,748.4,453050.3,700.8,25.12,25.03,8733.7,48676.4,1744.85,1738.44,877037.2,69631.7,2495.92,2486.85,1330087.5,0,0,0,0,0,0,0.0,0,0,0,0,0,4020,4017,8037,69.91,30.09,33.44,69.46,2.32,12,47117.3,1687.78,1682.76,901097.2,21,0,2.2484669749419,-0.34233660149834977,False,0,0,232607.69999999998,5.21665421956684,11.720721393034827,2.2467890145128395,0.007627676564160328,0.008967063426976434,-902006139.0599989,-0.007723766708285673,1.9889561931644235,0.0,0.0,0.0,1.1379897409580517,5.936498983992596,0.9992537313432835
