ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
2014-12-01,28071.5,911.39,905.53,308365.8,367.3,11.98,11.85,9636.6,47127.3,1530.17,1520.24,493814.9,75198.8,2441.56,2425.77,802180.7,0,0,0,0,0,0,0,0,0,0,0,0,5180,8081,13261,62.67,37.33,13.08,128.31,1.68,19,52520.5,1703.37,1694.21,564386.7,13,0,1.870954526833265,5.015291780196085,False,0,0,28071.5,3.473765623066452,10.139092664092663,2.918761299486412,0.009303669812854885,0.012408964531442732,,,1.83025063090654,0.0,0.0,0.0,0.8464143195155406,2.940244966004269,1.56003861003861
2015-01-01,27243.2,886.02,878.81,335609.0,325.6,10.87,10.5,9962.2,47521.0,1546.89,1532.94,541335.9,74764.2,2432.91,2411.75,876944.9,0,0,0,0,0,0,0,0,0,0,0,0,5196,7926,13122,63.56,36.44,11.95,145.95,1.74,19,52665.0,1704.12,1698.87,617051.7,14,0,1.933142949433253,3.323887443980089,False,0,0,55314.7,3.437194044915468,10.13568129330254,2.948824291225551,0.00932926706131896,0.012042815757013364,7992974.149999999,0.062188422599988025,1.8386029576084073,0.0,0.0,0.0,0.8286980085646102,2.8483958600715855,1.5254041570438799
2015-02-01,24748.0,889.53,883.86,360357.0,282.1,10.14,10.08,10244.3,44008.1,1582.93,1571.72,585344.0,68756.1,2472.47,2455.58,945701.0,0,0,0,0,0,0,0,0,0,0,0,0,4692,7340,12032,64.01,35.99,11.4,156.0,1.78,19,46638.0,1670.79,1665.64,663689.7,15,0,1.8845159204784225,-2.5154388592466326,False,0,0,80062.7,3.3716621253405994,9.939897698209718,2.9480705149854263,0.008261622656523188,0.010939816334151888,-482537892.9,-0.04862702895483051,1.8417560918755567,0.0,0.0,0.0,0.8072094294335848,2.721637460439013,1.5643648763853368
2015-03-01,27588.7,901.12,889.96,387945.7,305.0,10.04,9.84,10549.3,48723.1,1592.25,1571.71,634067.1,76311.8,2493.37,2461.67,1022012.8,0,0,0,0,0,0,0,0,0,0,0,0,5208,8045,13253,63.85,36.15,11.06,159.75,1.77,19,53013.8,1710.12,1710.12,716703.5,16,0,1.9215765875159032,1.9665881638225802,False,0,0,107651.4,3.429297700435053,10.179301075268818,2.96833403351871,0.00939105474480872,0.012195543514547285,686363796.1200002,0.03706066703748068,1.8474325143957002,0.0,0.0,0.0,0.8224492856020923,2.8204234438397076,1.5447388632872503
2015-04-01,26953.9,901.06,898.46,414899.6,302.3,10.44,10.08,10851.6,49441.2,1652.83,1648.04,683508.3,76395.1,2553.9,2546.5,1098407.9,0,0,0,0,0,0,0,0,0,0,0,0,5040,7637,12677,64.72,35.28,11.22,163.55,1.83,19,51426.6,1714.22,1714.22,768130.1,17,0,1.9079465309287338,-0.7093163330424201,False,0,0,134605.3,3.529383265680241,10.203690476190475,2.8910689795045115,0.009109892441956246,0.011914931125306958,-213645532.16000056,-0.013630056587169426,1.8513637998204868,0.0,0.0,0.0,0.8376059331089772,2.9562323635493075,1.5152777777777777
2015-05-01,23221.3,824.65,749.07,438120.9,249.6,10.81,8.05,11101.2,46367.2,1646.58,1495.72,729875.5,69588.5,2471.23,2244.79,1167996.4,0,0,0,0,0,0,0,0,0,0,0,0,4781,5928,10709,66.63,33.37,10.75,185.77,2.0,19,47708.7,1676.35,1538.99,815838.8,18,0,2.054523217907697,7.682431588248639,False,0,0,157826.59999999998,3.9172233468286097,9.978811964024262,2.547419710469949,0.008451290296180535,0.010264940885737888,-586783516.1400001,0.1465766869789631,1.8621316627442335,0.0,0.0,0.0,0.902586024614887,3.535631048142658,1.239907969044133
2015-06-01,25345.5,877.55,844.85,463466.4,484.4,16.92,16.15,11585.6,45545.8,1577.1,1518.19,775421.3,70891.3,2454.65,2363.04,1238887.7,0,0,0,0,0,0,0,0,0,0,0,0,4935,7504,12439,64.25,35.75,19.11,94.03,1.8,19,48283.8,1643.7,1609.46,864122.6,19,0,1.9050245605728828,-7.276562076872595,False,0,0,183172.09999999998,3.3775986140724945,9.783951367781155,2.8967181970696885,0.008553165573631682,0.011203940314257584,105342274.71000105,-0.14949865733481404,1.864477338594556,0.0,0.0,0.0,0.805801749707151,2.721674873028064,1.5205673758865248
2015-07-01,25790.0,845.31,831.94,489256.4,580.2,19.03,18.72,12165.8,47185.0,1546.56,1522.1,822606.3,72975.0,2391.87,2354.03,1311862.7,0,0,0,0,0,0,0,0,0,0,0,0,5187,8047,13234,64.66,35.34,22.5,81.33,1.83,19,51874.4,1680.14,1673.37,915997.0,20,0,2.01141527723924,5.584742520818886,False,0,0,208962.09999999998,3.204921088604449,10.000848274532485,3.1204663072959637,0.009189217340656686,0.01140043087351613,750299316.2599996,0.10639071666635713,1.8722228263135647,0.0,0.0,0.0,0.760603402034824,2.4376738832456954,1.5513784461152882
2015-08-01,25640.8,832.48,827.12,514897.2,618.1,20.04,19.94,12783.9,49274.7,1601.04,1589.51,871881.0,74915.5,2433.53,2416.63,1386778.2,0,0,0,0,0,0,0,0,0,0,0,0,5208,8149,13357,65.77,34.23,24.11,79.72,1.92,19,52291.6,1686.83,1686.83,968288.6,21,0,2.0393903466350505,1.3908151992465534,False,0,0,234602.89999999997,3.1464965026383602,10.040629800307219,3.1910506787114103,0.009263121645564731,0.011334477236977603,97876329.87999931,0.027975069395810515,1.8805474180088761,0.0,0.0,0.0,0.7351187645408033,2.3130486216514696,1.5647081413210446
2015-09-01,24004.6,809.05,800.15,538901.8,523.9,19.1,17.46,13307.8,48090.9,1623.91,1603.03,919971.9,72095.5,2432.97,2403.18,1458873.7,0,0,0,0,0,0,0,0,0,0,0,0,5020,5951,10971,66.7,33.3,21.82,91.79,2.0,19,50575.5,1694.12,1685.85,1018864.1,22,0,2.1069086758371314,3.310711424788515,False,0,0,258607.49999999997,4.033708620399932,10.074800796812749,2.49765209759099,0.008959125534220775,0.010611197477565153,-443796330.7499996,0.0675183292020809,1.8906303523202184,0.0,0.0,0.0,0.9294259494009061,3.749033464121826,1.1854581673306772
