ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
1974-05-01,220.6,7.29,7.12,2104.3,19.8,0.64,0.64,2956.4,498.8,17.94,16.09,9706.9,719.4,25.22,23.21,11811.2,0.0,0.0,0.0,0.0,962.4,120.3,31.05,34852.0,0.0,0.0,0.0,0.0,6733,2602,9335,69.34,30.66,89.76,25.19,2.26,23,9659.5,456.72,311.6,77217.9,113,0,43.78739800543971,22.654628457581172,False,0.0,0.0,220.6,0.08478093774019985,1.4346502302094164,16.921849043539897,5.132864793415176e-06,2.8145012214461964e-07,,,36.69529059544741,0.0,0.0,0.0,0.018683664192331594,0.0015840185706488662,0.3864547749888608
1974-06-01,192.1,7.22,6.4,2296.4,214.8,7.16,7.16,3171.2,800.9,39.65,26.7,10507.8,993.0,46.87,33.1,12804.2,0.0,0.0,0.0,0.0,232.3,232.3,7.74,35084.3,0.0,0.0,0.0,0.0,6016,4205,10221,80.65,19.35,1118.17,3.73,4.17,24,10012.3,446.22,333.74,87230.2,114,0,52.12024986985944,19.03025126860596,False,0.0,0.0,412.7,0.04568370986920333,1.6642785904255317,36.43046055564477,5.320335645852348e-06,2.4508870563908175e-07,145600.5599999997,8.33285186441973,37.9856296812402,0.0,0.0,0.0,0.007421179096652575,0.0003390269927388727,0.698969414893617
1974-07-01,262.275,10.77,8.74,2615.7,139.1,4.49,4.49,3310.3,1291.7,49.48,41.67,11799.5,1611.0,60.25,51.97,14415.2,0.0,0.0,0.0,0.0,230.7,78.3,7.44,35315.0,0.0,0.0,0.0,0.0,5722,5030,10752,80.18,19.82,435.64,9.29,4.05,25,9170.675,414.58,305.6875,94801.0,115,0,23.710616974632007,19.546679878034404,True,0.0,0.0,674.9749999999999,0.05214214711729622,1.6027044739601537,30.737216677226474,4.873112980936147e-06,3.346207197891211e-07,-568075.834375,-28.409632895227436,36.24307068853462,0.0,0.0,0.0,0.00862480930218609,0.000449716075493212,0.8790632645927997
1974-09-01,332.45000000000005,7.93,11.08,2988.8,64.3,2.14,2.14,3375.4,1047.7,35.48,34.92,14101.2,1277.6,43.41,42.59,17090.0,0.0,0.0,0.0,0.0,53.4,1.78,1.78,35463.2,0.0,0.0,0.0,0.0,5172,3502,8674,82.01,17.99,279.69,16.29,4.56,25,8329.05,384.51,277.635,116218.7,117,0,36.32883862548934,20.063108487462845,True,0.0,0.0,1007.425,0.09493146773272416,1.6104118329466355,16.963941161014038,4.425890316019945e-06,4.2415273393916055e-07,-847874.0656249999,12.618221650857333,38.8847363490364,0.0,0.0,0.0,0.014555254795466672,0.001381751700957423,0.677107501933488
1974-10-01,402.625,14.11,13.42,3413.3,127.9,4.13,4.13,3503.3,1913.6,102.68,61.73,16014.8,2338.1,116.8,75.42,19428.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35463.2,0.0,0.0,0.0,0.0,3837,5150,8987,81.84,18.16,301.3,14.96,4.51,25,7487.425,243.78,249.5825,121146.1,118,0,11.607538280329798,20.579537096891286,True,0.0,0.0,1410.05,0.07817961165048544,1.9513747719572583,24.960149209760644,3.978667651103745e-06,5.136847480891999e-07,-1186733.3312499986,-24.72130034515954,35.49236808953212,0.0,0.0,0.0,0.012074996270059521,0.0009440185190743135,1.342194422726088
1974-11-01,472.8,15.76,15.76,3886.1,555.5,18.52,18.52,4058.8,1857.4,66.08,61.91,17872.2,2330.2,81.84,77.67,21758.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35463.2,0.0,0.0,0.0,0.0,4142,3360,7502,79.71,20.29,1174.92,3.34,3.93,23,6645.8,237.3,221.53,127791.9,119,0,14.056260575296108,21.09596570631973,False,0.0,0.0,1882.85,0.1407142857142857,1.6044905842588122,11.402471157169224,3.5314449861875434e-06,6.032167622392393e-07,-1584653.6312499999,2.448722294966309,32.88435706749698,0.0,0.0,0.0,0.023703256216172926,0.003335386767561476,0.8112023177209078
1974-12-01,474.2,15.3,15.3,4360.3,414.2,13.36,13.36,4473.0,2024.7,67.3,65.31,19896.9,2498.9,82.6,80.61,24257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35463.2,0.0,0.0,0.0,0.0,3641,4207,7848,81.02,18.98,873.47,4.89,4.27,23,5190.3,245.32,167.43,132982.2,120,0,10.945381695487137,-22.131625001861043,False,0.0,0.0,2357.0499999999997,0.11271690040408842,1.4255149684152706,12.646860970314306,2.758021443890759e-06,6.050029370851253e-07,-3430686.2749999994,-3.11087887980897,30.498406072976632,0.0,0.0,0.0,0.018038698554061962,0.002033266188337576,1.1554517989563307
1975-01-01,513.5666666666666,21.84,16.57,5031.4,275.4,8.88,8.88,4748.4,2637.3,94.98,85.07,22534.2,3308.4,116.83,106.72,27565.6,0.0,0.0,0.0,0.0,0.8,0.03,0.03,35464.0,0.0,0.0,0.0,0.0,4297,4469,8766,79.72,20.28,410.37,9.58,3.93,24,4968.3,117.47,160.27,136047.6,121,0,4.567724631202504,-19.147163241886723,True,0.0,0.0,2870.6166666666663,0.11491758036846422,1.1562252734465908,10.06134370162812,2.640055091166688e-06,6.552284726325407e-07,-637276.8999999999,-6.377657064284634,27.039710617323212,0.0,0.0,0.0,0.019357813155852242,0.0022245530490953643,1.0400279264603212
1975-02-01,552.9333333333333,17.05,17.84,5507.5,235.7,8.42,8.42,4984.1,2458.9,89.18,87.82,24993.1,2935.0,106.22,104.82,30500.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35464.0,0.0,0.0,0.0,0.0,4207,3092,7299,83.78,16.22,495.06,10.43,5.16,24,4746.3,158.21,153.10999999999999,140236.3,122,0,8.797941608905692,-16.162701481912407,True,0.0,0.0,3423.5499999999997,0.1788270806382061,1.1281911100546709,6.308838158227109,2.522088738442616e-06,7.054540081799563e-07,-760028.1,4.230216977703188,25.462787108488424,0.0,0.0,0.0,0.02515352588876484,0.004498131602445355,0.7349655336344189
1975-03-01,592.3,19.11,19.11,6099.8,328.2,10.59,10.59,5312.3,3062.4,100.15,98.79,28055.5,3654.7,119.26,117.89,34155.3,0.0,0.0,0.0,0.0,160.4,5.17,5.17,35624.4,0.0,0.0,0.0,0.0,4273,4375,8648,83.79,16.21,554.11,9.33,5.17,25,4524.3,158.46,145.95,144760.6,123,0,7.638527773087963,-13.17823972193809,False,0.0,0.0,4015.8499999999995,0.13538285714285714,1.0588111397144864,7.820865669847844,2.4041223857185446e-06,7.556795437273718e-07,-891518.6999999998,-1.1594138358177286,23.73202400078691,0.0,0.0,0.0,0.019015899128087474,0.002574426755100848,1.0238708167563773
