ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
1986-07-01,25.4,0.91,0.82,25.4,0.0,0.0,0.0,0.0,59.7,2.13,1.93,59.7,0,0,0,0,85.1,3.04,2.75,85.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,672,70.15,29.85,0,0.0,0.0,2.35,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1986-08-01,22.2,0.72,0.72,47.6,0.0,0.0,0.0,0.0,14.1,0.45,0.45,73.8,0,0,0,0,36.3,1.17,1.17,121.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,38.84,61.16,0,0.0,0.0,0.64,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1986-09-01,34.3,1.14,1.14,81.9,0.0,0.0,0.0,0.0,10.0,0.33,0.33,83.8,0,0,0,0,44.3,1.48,1.48,165.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,720,22.57,77.43,0,0.0,0.0,0.29,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1986-10-01,29.6,0.95,0.95,111.5,0.0,0.0,0.0,0.0,7.6,0.25,0.25,91.4,0,0,0,0,37.2,1.2,1.2,202.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,20.43,79.57,0,0.0,0.0,0.26,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1986-11-01,31.3,1.08,1.04,142.8,0.0,0.0,0.0,0.0,9.5,0.33,0.32,100.9,0,0,0,0,40.8,1.41,1.36,243.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,696,23.28,76.72,0,0.0,0.0,0.3,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1986-12-01,23.0,0.74,0.74,165.8,0.0,0.0,0.0,0.0,7.4,0.24,0.24,108.3,0,0,0,0,30.4,0.98,0.98,274.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,24.34,75.66,0,0.0,0.0,0.32,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-01,18.7,0.6,0.6,184.5,0.0,0.0,0.0,0.0,6.4,0.21,0.21,114.7,0,0,0,0,25.1,0.81,0.81,299.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,25.5,74.5,0,0.0,0.0,0.34,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-01,11.1,0.4,0.4,195.6,0.0,0.0,0.0,0.0,8.5,0.3,0.3,123.2,0,0,0,0,19.6,0.7,0.7,318.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,672,43.37,56.63,0,0.0,0.0,0.77,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-03-01,12.8,0.41,0.41,208.4,0.0,0.0,0.0,0.0,5.1,0.16,0.16,128.3,0,0,0,0,17.9,0.58,0.58,336.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,28.49,71.51,0,0.0,0.0,0.4,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-04-01,11.6,0.39,0.39,220.0,0.0,0.0,0.0,0.0,5.1,0.17,0.17,133.4,0,0,0,0,16.7,0.56,0.56,353.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,720,30.54,69.46,0,0.0,0.0,0.44,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-05-01,13.4,0.43,0.43,233.4,0.0,0.0,0.0,0.0,4.8,0.15,0.15,138.2,0,0,0,0,18.2,0.59,0.59,371.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,26.37,73.63,0,0.0,0.0,0.36,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-06-01,10.5,0.35,0.35,243.9,0.0,0.0,0.0,0.0,4.6,0.15,0.15,142.8,0,0,0,0,15.1,0.5,0.5,386.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,720,30.46,69.54,0,0.0,0.0,0.44,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-07-01,23.7,0.79,0.76,267.6,0.0,0.0,0.0,0.0,8.7,0.29,0.28,151.5,0,0,0,0,32.4,1.08,1.05,419.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,720,26.85,73.15,0,0.0,0.0,0.37,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-08-01,12.4,0.4,0.4,280.0,0.0,0.0,0.0,0.0,5.2,0.17,0.17,156.7,0,0,0,0,17.6,0.57,0.57,436.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,29.55,70.45,0,0.0,0.0,0.42,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-09-01,6.2,0.26,0.21,286.2,0.0,0.0,0.0,0.0,5.5,0.23,0.18,162.2,0,0,0,0,11.7,0.49,0.39,448.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,576,47.01,52.99,0,0.0,0.0,0.89,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-10-01,12.3,0.4,0.4,298.5,0.0,0.0,0.0,0.0,5.0,0.16,0.16,167.2,0,0,0,0,17.3,0.56,0.56,465.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,28.9,71.1,0,0.0,0.0,0.41,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-11-01,7.3,0.24,0.24,305.8,0.0,0.0,0.0,0.0,5.3,0.18,0.18,172.5,0,0,0,0,12.6,0.42,0.42,478.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,720,42.06,57.94,0,0.0,0.0,0.73,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1987-12-01,15.0,0.48,0.48,320.8,0.0,0.0,0.0,0.0,6.5,0.21,0.21,179.0,0,0,0,0,21.5,0.69,0.69,499.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,30.23,69.77,0,0.0,0.0,0.43,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-01-01,10.0,0.4,0.32,330.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0,0,0,0,10.0,0.4,0.32,509.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,0.0,100.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-02-01,0.0,0.0,0.0,330.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0,0,0,0,0.0,0.0,0.0,509.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,408,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,3475.0,204.41,119.83,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-03-01,55.9,1.8,1.8,386.7,0.0,0.0,0.0,0.0,905.2,29.2,29.2,1084.2,0,0,0,0,961.1,31.0,31.0,1470.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,94.18,5.82,0,0.0,0.0,16.19,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-04-01,244.4,9.4,8.15,631.1,0.0,0.0,0.0,0.0,1280.3,49.24,42.68,2364.5,0,0,0,0,1524.7,58.64,50.82,2995.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,624,83.97,16.03,0,0.0,0.0,5.24,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-05-01,70.0,2.69,2.26,701.1,0.0,0.0,0.0,0.0,793.7,30.53,25.6,3158.2,0,0,0,0,863.7,33.22,27.86,3859.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,624,91.9,8.1,0,0.0,0.0,11.34,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-06-01,220.8,7.61,7.36,921.9,0.0,0.0,0.0,0.0,1256.9,43.34,41.9,4415.1,0,0,0,0,1477.7,50.96,49.26,5337.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,696,85.06,14.94,0,0.0,0.0,5.69,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-07-01,297.5,10.26,9.6,1219.4,0.0,0.0,0.0,0.0,1773.1,61.14,57.2,6188.2,0,0,0,0,2070.6,71.4,66.79,7407.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,696,85.63,14.37,0,0.0,0.0,5.96,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-08-01,109.1,3.9,3.52,1328.5,0.0,0.0,0.0,0.0,1875.2,66.97,60.49,8063.4,0,0,0,0,1984.3,70.87,64.01,9391.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,672,94.5,5.5,0,0.0,0.0,17.19,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-09-01,44.4,2.47,1.48,1372.9,0.0,0.0,0.0,0.0,458.3,25.46,15.28,8521.7,0,0,0,0,502.7,27.93,16.76,9894.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,432,91.17,8.83,0,0.0,0.0,10.32,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-10-01,0.0,0.0,0.0,1372.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8521.7,0,0,0,0,0.0,0.0,0.0,9894.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
1988-11-01,0.0,0.0,0.0,1372.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8521.7,0,0,0,0,0.0,0.0,0.0,9894.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3475.0,0,0,0,0,0,0,0,0,0,0,0,0
