ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
1980-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.16,0.06,1.8,0,0,0,0,1.8,0.16,0.06,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,264,100.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1980-12-01,12.6,0.41,0.41,12.6,0.0,0.0,0.0,0.0,2.7,0.09,0.09,4.5,0,0,0,0,15.3,0.49,0.49,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,17.65,82.35,0,0.0,0.0,0.21,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-01-01,23.9,0.77,0.77,36.5,0.0,0.0,0.0,0.0,9.0,0.29,0.29,13.5,0,0,0,0,32.9,1.06,1.06,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,27.36,72.64,0,0.0,0.0,0.38,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-02-01,36.4,1.3,1.3,72.9,0.0,0.0,0.0,0.0,5.5,0.2,0.2,19.0,0,0,0,0,41.9,1.5,1.5,91.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,1344,13.13,86.87,0,0.0,0.0,0.15,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-03-01,26.8,0.86,0.86,99.7,0.0,0.0,0.0,0.0,12.4,0.4,0.4,31.4,0,0,0,0,39.2,1.26,1.26,131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,31.63,68.37,0,0.0,0.0,0.46,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-04-01,0.0,0.0,0.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0,0,0,0,0.0,0.0,0.0,131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-05-01,112.1,3.71,3.62,211.8,0.0,0.0,0.0,0.0,53.2,1.35,1.72,84.6,0,0,0,0,165.3,5.06,5.33,296.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,32.18,67.82,0,0.0,0.0,0.47,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-06-01,124.2,4.14,4.14,336.0,0.0,0.0,0.0,0.0,23.3,0.78,0.78,107.9,0,0,0,0,147.5,4.92,4.92,443.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,720,15.8,84.2,0,0.0,0.0,0.19,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-07-01,132.9,4.29,4.29,468.9,0.0,0.0,0.0,0.0,29.5,0.95,0.95,137.4,0,0,0,0,162.4,5.24,5.24,606.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,18.17,81.83,0,0.0,0.0,0.22,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1981-08-01,133.6,3.95,4.31,602.5,0.0,0.0,0.0,0.0,68.4,1.12,2.21,205.8,0,0,0,0,202.0,5.06,6.52,808.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,33.86,66.14,0,0.0,0.0,0.51,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
