ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
1995-03-01,195.0,8.86,6.29,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195.0,8.86,6.29,195.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,528,528,0.0,100.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-04-01,330.7,11.02,11.02,525.7,0.0,0.0,0.0,0.0,0.6,0.02,0.02,0.6,0,0,0,0,331.3,11.04,11.04,526.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,720,720,0.18,99.82,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-05-01,549.2,24.88,17.72,1074.9,0.0,0.0,0.0,0.0,247.8,10.62,7.99,248.4,0,0,0,0,797.0,35.5,25.71,1323.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2570,2570,31.09,68.91,0,0.0,0.0,0.45,0,5,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-06-01,708.3,27.62,23.61,1783.2,0.0,0.0,0.0,0.0,176.6,7.3,5.89,425.0,0,0,0,0,884.9,34.93,29.5,2208.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2112,2112,19.96,80.04,0,0.0,0.0,0.25,0,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-07-01,613.6,21.32,19.79,2396.8,0.0,0.0,0.0,0.0,368.4,12.7,11.88,793.4,0,0,0,0,982.0,34.02,31.68,3190.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2525,2525,37.52,62.48,0,0.0,0.0,0.6,0,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-08-01,700.8,34.36,22.61,3097.6,0.0,0.0,0.0,0.0,401.0,20.64,12.94,1194.4,0,0,0,0,1101.8,55.01,35.54,4292.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2462,2462,36.39,63.61,0,0.0,0.0,0.57,0,5,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-09-01,1174.7,39.81,39.16,4272.3,0.0,0.0,0.0,0.0,176.6,5.9,5.89,1371.0,0,0,0,0,1351.3,45.71,45.04,5643.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2863,2863,13.07,86.93,0,0.0,0.0,0.15,0,4,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-10-01,2038.1,89.87,65.75,6310.4,0.0,0.0,0.0,0.0,227.0,12.17,7.32,1598.0,0,0,0,0,2265.1,102.04,73.07,7908.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3646,3646,10.02,89.98,0,0.0,0.0,0.11,0,8,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-11-01,4424.0,180.56,147.47,10734.4,0.0,0.0,0.0,0.0,128.8,7.02,4.29,1726.8,0,0,0,0,4552.8,187.58,151.76,12461.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5755,5755,2.83,97.17,0,0.0,0.0,0.03,0,12,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1995-12-01,6505.1,237.07,209.84,17239.5,0.0,0.0,0.0,0.0,432.1,15.88,13.94,2158.9,0,0,0,0,6937.2,252.95,223.78,19398.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7368,7368,6.23,93.77,0,0.0,0.0,0.07,0,13,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
