ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
1970-08-01,80.6,5.04,2.6,80.6,0.0,0.0,0.0,0.0,9.5,0.59,0.31,9.5,0,0,0,0,90.1,5.63,2.91,90.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,384,384,10.54,89.46,0,0.0,0.0,0.12,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1970-09-01,290.3,9.68,9.68,370.9,0.0,0.0,0.0,0.0,0.8,0.03,0.03,10.3,0,0,0,0,291.1,9.7,9.7,381.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,720,720,0.27,99.73,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1970-10-01,319.4,10.39,10.3,690.3,0.0,0.0,0.0,0.0,3.3,0.11,0.11,13.6,0,0,0,0,322.7,10.5,10.41,703.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1464,1464,1.02,98.98,0,0.0,0.0,0.01,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1970-11-01,277.1,13.46,9.24,967.4,0.0,0.0,0.0,0.0,2.9,0.15,0.1,16.5,0,0,0,0,280.0,13.61,9.33,983.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,960,960,1.04,98.96,0,0.0,0.0,0.01,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1970-12-01,337.3,12.39,10.88,1304.7,0.0,0.0,0.0,0.0,15.5,0.58,0.5,32.0,0,0,0,0,352.8,12.97,11.38,1336.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1272,1272,4.39,95.61,0,0.0,0.0,0.05,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-01-01,297.4,10.59,9.59,1602.1,0.0,0.0,0.0,0.0,13.2,0.44,0.43,45.2,0,0,0,0,310.6,11.03,10.02,1647.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1368,1368,4.25,95.75,0,0.0,0.0,0.04,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-02-01,432.2,15.64,15.44,2034.3,0.0,0.0,0.0,0.0,18.7,0.68,0.67,63.9,0,0,0,0,450.9,16.31,16.1,2098.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1800,1800,4.15,95.85,0,0.0,0.0,0.04,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-03-01,484.8,16.01,15.64,2519.1,0.0,0.0,0.0,0.0,23.9,0.79,0.77,87.8,0,0,0,0,508.7,16.8,16.41,2606.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2016,2016,4.7,95.3,0,0.0,0.0,0.05,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-04-01,42.6,7.39,1.42,2561.7,0.0,0.0,0.0,0.0,1.6,0.31,0.05,89.4,0,0,0,0,44.2,7.7,1.47,2651.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,264,264,3.62,96.38,0,0.0,0.0,0.04,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-05-01,480.6,17.83,15.5,3042.3,0.0,0.0,0.0,0.0,53.8,2.11,1.74,143.2,0,0,0,0,534.4,19.94,17.24,3185.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2328,2328,10.07,89.93,0,0.0,0.0,0.11,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
