ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
1971-06-01,47.0,1.57,1.57,47.0,0.0,0.0,0.0,0.0,0.2,0.01,0.01,0.2,0,0,0,0,47.2,1.57,1.57,47.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,720,720,0.42,99.58,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-07-01,109.5,3.53,3.53,156.5,0.0,0.0,0.0,0.0,15.7,0.51,0.51,15.9,0,0,0,0,125.2,4.04,4.04,172.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,744,744,12.54,87.46,0,0.0,0.0,0.14,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-08-01,31.1,1.24,1.0,187.6,0.0,0.0,0.0,0.0,2.7,0.11,0.09,18.6,0,0,0,0,33.8,1.35,1.09,206.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,600,600,7.99,92.01,0,0.0,0.0,0.09,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-09-01,0.0,0.0,0.0,187.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0,0,0,0,0.0,0.0,0.0,206.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-10-01,16.2,0.52,0.52,203.8,0.0,0.0,0.0,0.0,2.1,0.07,0.07,20.7,0,0,0,0,18.3,0.59,0.59,224.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,744,744,11.48,88.52,0,0.0,0.0,0.13,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-11-01,179.6,5.99,5.99,383.4,0.0,0.0,0.0,0.0,12.9,0.43,0.43,33.6,0,0,0,0,192.5,6.42,6.42,417.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,720,720,6.7,93.3,0,0.0,0.0,0.07,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1971-12-01,43.1,1.39,1.39,426.5,0.0,0.0,0.0,0.0,4.8,0.15,0.15,38.4,0,0,0,0,47.9,1.55,1.55,464.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,744,744,10.02,89.98,0,0.0,0.0,0.11,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1972-01-01,46.9,2.35,1.51,473.4,0.0,0.0,0.0,0.0,2.4,0.12,0.08,40.8,0,0,0,0,49.3,2.47,1.59,514.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,480,480,4.87,95.13,0,0.0,0.0,0.05,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1972-02-01,98.5,3.4,3.4,571.9,0.0,0.0,0.0,0.0,4.9,0.17,0.17,45.7,0,0,0,0,103.4,3.57,3.57,617.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,696,696,4.74,95.26,0,0.0,0.0,0.05,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1972-03-01,31.3,1.01,1.01,603.2,0.0,0.0,0.0,0.0,3.0,0.1,0.1,48.7,0,0,0,0,34.3,1.11,1.11,651.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,744,744,8.75,91.25,0,0.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1972-04-01,0.0,0.0,0.0,603.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7,0,0,0,0,0.0,0.0,0.0,651.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1972-05-01,118.7,10.35,3.83,721.9,0.0,0.0,0.0,0.0,19.4,1.58,0.63,68.1,0,0,0,0,138.1,11.94,4.45,790.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,624,624,14.05,85.95,0,0.0,0.0,0.16,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
