ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
1977-01-01,82.5,0.0,2.66,82.5,0.0,0.0,0.0,0.0,2.2,0.0,0.07,2.2,0,0,0,0,84.7,0.0,2.73,84.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.6,97.4,0,0.0,0.0,0.03,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-02-01,170.5,6.09,6.09,253.0,0.0,0.0,0.0,0.0,4.3,0.15,0.15,6.5,0,0,0,0,174.8,6.24,6.24,259.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,672,672,2.46,97.54,0,0.0,0.0,0.03,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-03-01,145.2,4.68,4.68,398.2,0.0,0.0,0.0,0.0,5.9,0.19,0.19,12.4,0,0,0,0,151.1,4.87,4.87,410.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,744,744,3.9,96.1,0,0.0,0.0,0.04,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-04-01,53.9,6.74,1.8,452.1,0.0,0.0,0.0,0.0,1.9,0.24,0.06,14.3,0,0,0,0,55.8,6.98,1.86,466.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,192,192,3.41,96.59,0,0.0,0.0,0.04,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-05-01,59.6,5.96,1.92,511.7,0.0,0.0,0.0,0.0,6.0,0.6,0.19,20.3,0,0,0,0,65.6,6.56,2.12,532.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,240,240,9.15,90.85,0,0.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-06-01,133.0,5.12,4.43,644.7,0.0,0.0,0.0,0.0,5.6,0.22,0.19,25.9,0,0,0,0,138.6,5.33,4.62,670.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,624,624,4.04,95.96,0,0.0,0.0,0.04,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-07-01,199.3,113.85,6.43,844.0,0.0,0.0,0.0,0.0,8.6,3.38,0.28,34.5,0,0,0,0,207.9,117.23,6.71,878.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,744,744,4.14,95.86,0,0.0,0.0,0.04,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-08-01,489.0,20.78,15.77,1333.0,0.0,0.0,0.0,0.0,26.7,1.63,0.86,61.2,0,0,0,0,515.7,22.41,16.64,1394.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1704,1704,5.18,94.82,0,0.0,0.0,0.05,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-09-01,394.1,16.03,13.14,1727.1,0.0,0.0,0.0,0.0,64.0,3.8,2.13,125.2,0,0,0,0,458.1,19.83,15.27,1852.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1824,1824,13.97,86.03,0,0.0,0.0,0.16,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1977-10-01,460.0,17.55,14.84,2187.1,0.0,0.0,0.0,0.0,148.4,4.92,4.79,273.6,0,0,0,0,608.4,22.46,19.63,2460.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2496,2496,24.39,75.61,0,0.0,0.0,0.32,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
