ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
1962-01-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-02-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-03-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-04-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-05-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-06-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-07-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-08-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-09-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-10-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-11-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1962-12-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-01-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-02-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-03-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-04-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-05-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-06-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-07-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-08-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-09-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-10-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-11-01,0.0,0.0,0.0,3.2,0.0,0.0,0.0,41.6,0.0,0.0,0.0,11.2,0,0,0,0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,994.7,0,0,0,0
1963-12-01,0.0,0.0,0.0,3.2,28.2,28.2,0.91,69.8,4.1,4.1,0.13,15.3,0,0,0,0,4.1,4.1,0.13,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128,48,1176,100.0,0.0,0,0.0,0.15,0.0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1112.4,47.31,35.88,2107.1,0,0,0,0
1964-01-01,0.0,0.0,0.0,3.2,30.4,30.4,0.98,100.2,4.3,4.3,0.14,19.6,0,0,0,0,4.3,4.3,0.14,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440,48,1488,100.0,0.0,0,0.0,0.14,0.0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1978.4,65.95,63.82,4085.5,0,0,0,0
1964-02-01,0.1,0.01,0.0,3.3,2.3,0.15,0.08,102.5,2.9,0.19,0.1,22.5,0,0,0,0,3.0,0.2,0.1,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,720,744,96.67,3.33,0,23000.0,1.26,29.0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,50.7,50.7,1.75,4136.2,0,0,0,0
1964-03-01,0.2,0.01,0.01,3.5,10.7,0.35,0.35,113.2,2.2,0.07,0.07,24.7,0,0,0,0,2.4,0.08,0.08,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.2,3.97,3.97,123.2,0.0,0.0,0.0,0.0,744,1488,2232,91.67,8.33,0,53500.0,0.21,11.0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,766.3,24.72,24.72,4902.5,0,0,0,0
1964-04-01,0.5,0.02,0.02,4.0,1.4,0.05,0.05,114.6,1.5,0.05,0.05,26.2,0,0,0,0,2.0,0.07,0.07,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.2,0.0,0.0,0.0,0.0,144,2157,2301,75.0,25.0,0,2800.0,1.07,3.0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,515.6,85.93,17.19,5418.1,0,0,0,0
