ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyCnd(m3),AvgDlyCnd(m3/d),CalDlyCnd(m3/d),CumPrdCnd(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjOil(m3),AvgInjOil(m3/d),CalInjOil(m3/d),CumInjOil(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),CCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),CGR(m3/E3m3),NbrofWells,MonInjCO2(E3m3),AvgInjCO2(E3m3/d),CalInjCO2(E3m3/d),CumInjCO2(E3m3),MonthlyCO2(E3m3),AvgDlyCO2(E3m3/d),CalDlyCO2(E3m3/d),CumPrdCO2(E3m3),MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),MonthlySteam(m3),AvgDlySteam(m3/d),CalDlySteam(m3/d),CumPrdSteam(m3),MonInjAir(E3m3),AvgInjAir(E3m3/d),CalInjAir(E3m3/d),CumInjAir(E3m3),MonInjPolymer(m3),AvgInjPolymer(m3/d),CalInjPolymer(m3/d),CumInjPolymer(m3)
2003-07-01,393335.0,14015.13,12688.23,21158780.8,38270.1,1478.0,1234.52,2519462.6,647944.5,24313.25,20901.44,18604082.5,0,0,0,0,1041279.5,38328.38,33589.66,39762863.3,163.1,5.26,5.26,10306.4,529.2,50.53,17.07,46903.9,323228.2,11253.73,10426.72,5135846.6,0.0,0.0,0.0,25.6,76457,871076,947533,62.23,37.77,0,97.3,16.93,1.65,0,1427,0.0,0.0,0.0,219.5,0,0,0,0,545748.9,20738.05,17604.8,18464945.0,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2003-08-01,419107.5,14500.34,13519.6,21577888.3,37058.6,1312.92,1195.44,2556521.2,666567.5,23803.65,21502.18,19270650.0,0,0,0,0,1085675.0,38303.99,35021.77,40848538.3,0.0,0.0,0.0,10306.4,1418.3,1193.15,45.75,48322.2,409998.5,16074.76,13225.76,5545845.1,0.0,0.0,0.0,25.6,87087,880905,967992,61.4,38.6,0,88.42,17.99,1.59,0,1443,0.0,0.0,0.0,219.5,0,0,0,0,599449.9,21664.26,19337.09,19064394.9,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2003-09-01,386621.3,14524.88,12887.38,21964509.6,35179.0,1274.11,1172.63,2591700.2,605517.3,24782.09,20183.91,19876167.3,0,0,0,0,992138.6,39306.97,33071.29,41840676.9,0.0,0.0,0.0,10306.4,1619.0,77.74,53.97,49941.2,553017.5,20981.6,18433.92,6098862.6,0.0,0.0,0.0,25.6,98385,854789,953174,61.03,38.97,0,90.99,17.21,1.57,0,1488,0.0,0.0,0.0,219.5,0,0,0,0,561738.9,23876.48,18724.63,19626133.8,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2003-10-01,436881.6,15020.45,14092.95,22401391.2,34186.3,1163.57,1102.78,2625886.5,803442.0,30595.51,25917.48,20679609.3,0,0,0,0,1240323.6,45615.96,40010.44,43081000.5,0.0,0.0,0.0,10306.4,1830.2,1190.27,59.04,51771.4,700104.9,25318.11,22584.03,6798967.5,0.0,0.0,0.0,25.6,139465,880672,1020137,64.78,35.22,0,78.25,23.5,1.84,0,1522,0.0,0.0,0.0,219.5,0,0,0,0,846067.3,29482.79,27292.49,20472201.1,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2003-11-01,459999.4,15926.06,15333.31,22861390.6,31880.3,1128.85,1062.68,2657766.8,855531.0,32647.06,28517.7,21535140.3,0,0,0,0,1315530.4,48573.12,43851.01,44396530.9,0.0,0.0,0.0,10306.4,1463.7,1094.63,48.79,53235.1,771748.9,26382.1,25724.96,7570716.4,0.0,0.0,0.0,25.6,134446,868747,1003193,65.03,34.97,0,69.31,26.84,1.86,0,1535,0.0,0.0,0.0,219.5,0,0,0,0,905474.2,37017.23,30182.47,21377675.3,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2003-12-01,482966.3,16496.95,15579.56,23344356.9,32036.8,1116.71,1033.45,2689803.6,885741.8,33227.07,28572.32,22420882.1,0,0,0,0,1368708.1,49724.03,44151.87,45765239.0,0.0,0.0,0.0,10306.4,1254.0,934.55,40.45,54489.1,804050.0,27748.19,25937.1,8374766.4,0.0,0.0,0.0,25.6,141718,885946,1027664,64.71,35.29,0,66.33,27.65,1.83,0,1546,0.0,0.0,0.0,219.5,0,0,0,0,910916.6,36408.41,29384.41,22288591.9,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2004-01-01,497535.8,16978.21,16049.54,23841892.7,31798.0,1131.4,1025.74,2721601.6,891989.8,32346.87,28773.86,23312871.9,0,0,0,0,1389525.6,49325.08,44823.41,47154764.6,1108.4,48.19,35.75,11414.8,401.4,340.69,12.95,54890.5,849595.1,29521.18,27406.29,9224361.5,0.0,0.0,0.0,25.6,155561,870610,1026171,64.19,35.81,0,63.91,28.05,1.79,0,1557,0.0,0.0,0.0,219.5,0,0,0,0,929983.9,33513.8,29999.48,23218575.8,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2004-02-01,442826.8,16073.39,15269.89,24284719.5,29766.9,1128.96,1026.44,2751368.5,742188.8,28037.4,25592.72,24055060.7,0,0,0,0,1185015.6,44110.79,40862.61,48339780.2,918.0,31.66,31.66,12332.8,96.3,37.89,3.32,54986.8,907684.2,34417.97,31299.46,10132045.7,0.0,0.0,0.0,25.6,152885,813950,966835,62.63,37.37,0,67.22,24.93,1.68,0,1578,0.0,0.0,0.0,219.5,0,0,0,0,822546.8,32753.75,28363.68,24041122.6,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2004-03-01,502515.2,17525.61,16210.17,24787234.7,32961.3,1151.68,1063.27,2784329.8,933279.3,32837.97,30105.78,24988340.0,0,0,0,0,1435794.5,50363.59,46315.95,49775574.7,799.8,50.51,25.8,13132.6,466.0,231.52,15.03,55452.8,1127337.4,39726.28,36365.72,11259383.1,0.0,0.0,0.0,25.6,179196,875300,1054496,65.0,35.0,0,65.59,28.31,1.86,0,1595,0.0,0.0,0.0,219.5,0,0,0,0,937216.3,33561.86,30232.78,24978338.9,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
2004-04-01,521409.0,18513.7,17380.3,25308643.7,33681.4,1195.32,1122.71,2818011.2,987584.8,36603.23,32919.49,25975924.8,0,0,0,0,1508993.8,55116.94,50299.79,51284568.5,1306.8,45.91,43.56,14439.4,331.1,106.27,11.04,55783.9,1148099.4,41607.1,38269.98,12407482.5,0.0,0.0,0.0,25.6,178990,839001,1017991,65.45,34.55,0,64.6,29.32,1.89,0,1610,0.0,0.0,0.0,219.5,0,0,0,0,1007006.0,37496.82,33566.87,25985344.9,0,0,0,0,0.0,0.0,0.0,210240.1,0,0,0,0
