,,"Operation: SAGD,Steam Flood,Infill,Cyclic -- Formation: All -- Province: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Operation: SAGD,,,,,,,,,,
,,Athabasca Oil Corporation/Hangingstone,,,,,,,,,,,,,,,,,,,,,,,,"Pad AA, Pad AB, Pad AC, Pad AD, Pad AE",,,,,,,,,,
,,Summary,,,,,,,,,,,,,,,,,,,Cumulative Summary,,,,,Producer Wells,,,,,,,Injector Wells,,,
,,Count,,,Produced,,,,Injected,,Ratio,,,,,,,,Length,,Produced,,,Injected,,Produced,,,,Injected,,Length,Injected,,,Length
,,SAGD,,,Crude Oil/Bitumen,Water,Fluid,Gas,Gas,Steam,ISOR,CSOR,IGOR,CGOR,IWSR,CWSR,IFSR,CFSR,Prod Length,Oil/m,Crude Oil/Bitumen,Water,Gas,Gas,Steam,Hours,Crude Oil/Bitumen,Water,Gas,Hours,Steam,Length,Hours,Gas,Steam,Length
,,Pairs,Wells,,Cal Day Avg,Cal Day Avg,Cal Day Avg,Cal Day Avg,Cal Day Avg,Cal Day Avg,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,,Cal Day Avg,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
,,,Injector,Producer,m3/d,m3/d,m3/d,e3m3/d,e3m3/d,m3/d,,,,,,,,,m,m3/d/m,m3,m3,e3m3,e3m3,m3,Ontime,m3,m3,e3m3,Ontime,m3,m,Ontime,e3m3,m3,m
2015/03/01,1,3,2,3,0,0,0,0,0,47.21612903,,,,,0,0,0,0,2456,0,0,0,0,0,1463.7,0,0,0,0,480,1015.2,2456,408,0,448.5,1630.2
2015/04/01,2,15,15,15,0,562.0433333,562.0433333,0,0,2203.21,,,,,0.2551020254,0.2495751924,0.2551020254,0.2495751924,11190.9,0,0,16861.3,0,0,67560,4536,0,16861.3,0,9640,29692.8,11190.9,9640,0,36403.5,11217.8
2015/05/01,3,15,15,15,0,597.8322581,597.8322581,0,0,3356.535484,,,,,0.1781099175,0.2062441802,0.1781099175,0.2062441802,11190.9,0,0,35394.1,0,0,171612.6,9503,0,18532.8,0,10965,46198.5,11190.9,10965,0,57854.1,11217.8
2015/06/01,4,15,15,15,8.39,675.7166667,684.1066667,0,0,3329.076667,396.7910211,1078.605085,0,0,0.2029741981,0.205041238,0.2054944164,0.2059683614,11190.9,0.0007497162873,251.7,55665.6,0,0,271484.9,10564,251.7,20271.5,0,10564,41923.1,11190.9,10564,0,57949.2,11217.8
