,UWI
0,102/13-23-053-24W3/00
1,102/13-23-053-24W3/00
2,102/13-23-053-24W3/00
3,102/13-23-053-24W3/00
4,102/13-23-053-24W3/00
5,102/13-23-053-24W3/00
6,102/13-23-053-24W3/00
7,102/13-23-053-24W3/00
8,102/13-23-053-24W3/00
9,102/13-23-053-24W3/00
10,102/13-23-053-24W3/00
11,102/13-23-053-24W3/00
12,102/13-23-053-24W3/00
13,102/13-23-053-24W3/00
14,102/13-23-053-24W3/00
15,102/13-23-053-24W3/00
16,102/13-23-053-24W3/00
17,102/13-23-053-24W3/00
18,102/13-23-053-24W3/00
19,102/13-23-053-24W3/00
20,102/13-23-053-24W3/00
21,102/13-23-053-24W3/00
22,102/13-23-053-24W3/00
23,102/13-23-053-24W3/00
24,102/13-23-053-24W3/00
25,102/13-23-053-24W3/00
26,102/13-23-053-24W3/00
27,102/13-23-053-24W3/00
28,102/13-23-053-24W3/00
29,102/13-23-053-24W3/00
30,102/13-23-053-24W3/00
31,102/13-23-053-24W3/00
32,102/13-23-053-24W3/00
33,102/13-23-053-24W3/00
34,102/13-23-053-24W3/00
35,103/13-23-053-24W3/00
36,103/13-23-053-24W3/00
37,103/13-23-053-24W3/00
38,103/13-23-053-24W3/00
39,103/13-23-053-24W3/00
40,103/13-23-053-24W3/00
41,103/13-23-053-24W3/00
42,103/13-23-053-24W3/00
43,103/13-23-053-24W3/00
44,103/13-23-053-24W3/00
45,103/13-23-053-24W3/00
46,103/13-23-053-24W3/00
47,103/13-23-053-24W3/00
48,103/13-23-053-24W3/00
49,103/13-23-053-24W3/00
50,103/13-23-053-24W3/00
51,103/13-23-053-24W3/00
52,103/13-23-053-24W3/00
53,103/13-23-053-24W3/00
54,103/13-23-053-24W3/00
55,103/13-23-053-24W3/00
56,103/13-23-053-24W3/00
57,103/13-23-053-24W3/00
58,103/13-23-053-24W3/00
59,103/13-23-053-24W3/00
60,103/13-23-053-24W3/00
61,103/13-23-053-24W3/00
62,103/13-23-053-24W3/00
63,103/13-23-053-24W3/00
64,103/13-23-053-24W3/00
65,103/13-23-053-24W3/00
66,103/13-23-053-24W3/00
67,103/13-23-053-24W3/00
68,103/13-23-053-24W3/00
69,103/13-23-053-24W3/00
70,104/13-23-053-24W3/00
71,104/13-23-053-24W3/00
72,104/13-23-053-24W3/00
73,104/13-23-053-24W3/00
74,104/13-23-053-24W3/00
75,104/13-23-053-24W3/00
76,104/13-23-053-24W3/00
77,104/13-23-053-24W3/00
78,104/13-23-053-24W3/00
79,104/13-23-053-24W3/00
80,104/13-23-053-24W3/00
81,104/13-23-053-24W3/00
82,104/13-23-053-24W3/00
83,104/13-23-053-24W3/00
84,104/13-23-053-24W3/00
85,104/13-23-053-24W3/00
86,104/13-23-053-24W3/00
87,104/13-23-053-24W3/00
88,104/13-23-053-24W3/00
89,104/13-23-053-24W3/00
90,104/13-23-053-24W3/00
91,104/13-23-053-24W3/00
92,104/13-23-053-24W3/00
93,104/13-23-053-24W3/00
94,104/13-23-053-24W3/00
95,104/13-23-053-24W3/00
96,104/13-23-053-24W3/00
97,104/13-23-053-24W3/00
98,104/13-23-053-24W3/00
99,104/13-23-053-24W3/00
100,104/13-23-053-24W3/00
101,104/13-23-053-24W3/00
102,104/13-23-053-24W3/00
103,104/13-23-053-24W3/00
104,104/13-23-053-24W3/00
105,105/13-23-053-24W3/00
106,105/13-23-053-24W3/00
107,105/13-23-053-24W3/00
108,105/13-23-053-24W3/00
109,105/13-23-053-24W3/00
110,105/13-23-053-24W3/00
111,105/13-23-053-24W3/00
112,105/13-23-053-24W3/00
113,105/13-23-053-24W3/00
114,105/13-23-053-24W3/00
115,105/13-23-053-24W3/00
116,105/13-23-053-24W3/00
117,105/13-23-053-24W3/00
118,105/13-23-053-24W3/00
119,105/13-23-053-24W3/00
120,105/13-23-053-24W3/00
121,105/13-23-053-24W3/00
122,105/13-23-053-24W3/00
123,105/13-23-053-24W3/00
124,105/13-23-053-24W3/00
125,105/13-23-053-24W3/00
126,105/13-23-053-24W3/00
127,105/13-23-053-24W3/00
128,105/13-23-053-24W3/00
129,105/13-23-053-24W3/00
130,105/13-23-053-24W3/00
131,105/13-23-053-24W3/00
132,105/13-23-053-24W3/00
133,105/13-23-053-24W3/00
134,105/13-23-053-24W3/00
135,105/13-23-053-24W3/00
