ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumInjGas(E3m3).1,CumPrdOil(m3),Percentage_Change_Monthly_Injected_Steam
1996-06-01,1463.0,5565.7,0.0,0.0,9360,714,8053.0,0.0,62979.5,4.350927246790293
1989-05-01,73257.4,17016.6,0.0,0.0,46680,9648,3033921.0,0.0,1808366.8,16.6407668057192
1989-06-01,64860.9,16644.2,0.0,0.0,46824,8640,3098781.9,0.0,1825011.0,11.461640735270418
1989-07-01,55953.5,17083.0,0.0,0.0,48360,7704,3154735.4,0.0,1842094.0,13.733081101248978
1989-08-01,62189.6,19089.2,0.0,0.0,49176,7992,3216925.0,0.0,1861183.2,11.14514730981977
1989-09-01,73230.4,18835.4,0.0,0.0,45216,9480,3290155.4,0.0,1880018.6,17.753450737743925
1989-10-01,78305.5,18931.3,0.0,0.0,46632,10272,3368460.9,0.0,1898949.9,6.930318556228032
1989-11-01,63685.6,18529.8,0.0,0.0,45792,8688,3432146.5,0.0,1917479.7,18.670336055577195
1989-12-01,62903.6,19105.3,0.0,0.0,48960,9144,3495050.1,0.0,1936585.0,1.227907093597291
1990-01-01,73751.5,20727.8,0.0,0.0,49752,9840,3568801.6,0.0,1957312.8,17.24527689989126
1990-02-01,68224.7,21822.7,0.0,0.0,47210,8832,3637026.3,0.0,1979135.5,7.49381368514539
1989-04-01,62806.0,17531.2,0.0,0.0,48840,7704,2960663.6,0.0,1791350.2,8.947971905210439
1990-03-01,71802.7,27651.8,0.0,0.0,54895,9816,3708829.0,0.0,2006787.3,5.244434933389219
1990-05-01,70836.5,34333.2,0.0,0.0,56858,9744,3844224.3,0.0,2071932.8,9.72400354405596
1990-06-01,70217.0,30745.8,0.0,0.0,57152,9456,3914441.3,0.0,2102678.6,0.8745491378032488
1990-07-01,76797.1,29333.4,0.0,0.0,57670,9768,3991238.4,0.0,2132012.0,9.371092470484356
1990-08-01,81022.9,26171.6,0.0,0.0,56722,10248,4072261.3,0.0,2158183.6,5.502551528638433
