Unnamed: 0,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
703,2021-10-01,126706.45,40468.5,683.3,683.3,13895,11675,8830561.9,3331027.9,1348.9499999999998,22.04,4223.55,47798.744866580695,-16.92385872371281,True,2714479.2000000007,2.912450521770421,10.85280085653105,3.726346859940422
704,2021-11-01,140534.7,44124.0,2356.4,3039.7,13599,11894,8971096.6,3375151.9,1470.8,78.55,4684.49,43312.74103209138,-9.385191697001606,False,2758603.2000000007,3.244650341936908,11.815596098873382,3.641562218941599
705,2021-12-01,169602.9,49732.5,2899.8,5939.5,15162,11726,9140699.5,3424884.4,1604.27,93.54,5471.06,51707.01593123208,19.38061341562565,False,2808335.7000000007,3.280075187969925,14.46383250895446,4.409603951154024
706,2022-01-01,168792.4,54022.7,2675.6,8615.1,15668,13281,9309491.9,3478907.1,1742.67,86.31,5444.92,48954.22337646952,-5.323827927768354,False,2862358.400000001,3.4479640030635688,12.70931405767638,3.686034438405958
707,2022-02-01,152786.7,47515.2,1888.7,10503.8,14233,13806,9462278.6,3526422.3,1696.97,67.45,5456.67,45766.68310561674,-6.511267161445577,False,2909873.600000001,3.338382631911754,11.066688396349416,3.3149850141689656
708,2022-03-01,161320.4,49641.1,1765.1,12268.9,15306,15412,9623599.0,3576063.4,1601.33,56.94,5203.88,49740.43770988153,8.682636220532892,False,2959514.700000001,3.243244479289168,10.467194393978716,3.227383708141806
709,2022-04-01,158583.8,47704.8,1174.0,13442.9,14310,13880,9782182.8,3623768.2,1590.16,39.13,5286.13,47570.35304623434,-4.362817786816697,False,3007219.500000001,3.3336687631027258,11.425345821325648,3.4272588650024733
710,2022-05-01,164104.5,50509.8,1794.8,15237.7,15130,13797,9946287.3,3674278.0,1629.35,57.9,5293.69,49156.81877576232,3.334988344496992,False,3057729.3000000007,3.338387309980172,11.89421613394216,3.562862852486941
711,2022-06-01,139018.8,52773.5,2151.3,17389.0,14365,13680,10085306.1,3727051.5,1759.12,71.71,4633.96,37841.057765734695,-23.01971789843949,False,3110502.8000000007,3.673755656108597,10.16219298245614,2.7661591934016587
712,2022-07-01,158231.4,51683.0,1714.6,19103.6,14044,13626,10243537.5,3778734.5,1667.19,55.31,5104.24,42996.76453766228,13.624637038016708,False,3162185.8000000007,3.6800769011677583,11.612461470717744,3.155494241718941
713,2022-08-01,170281.6,53233.0,2391.6,21495.2,15875,15661,10413819.1,3831967.5,1717.19,77.15,5492.95,50780.91409464055,18.10403559588738,False,3215418.8000000007,3.353259842519685,10.87297107464402,3.242507764168351
714,2022-09-01,168718.4,54528.8,2359.4,23854.6,16245,15840,10582537.5,3886496.3,1817.63,78.65,5623.95,50263.904725576205,-1.0181174921364944,False,3269947.600000001,3.356651277316097,10.651414141414142,3.1732263084328416
715,2022-10-01,174410.4,53194.3,3297.6,27152.2,15749,15742,10756947.9,3939690.6,1715.95,106.37,5626.14,51636.91203004833,2.731596981906348,False,3323141.9000000004,3.377630325734968,11.07930377334519,3.280200230596387
716,2022-11-01,168012.0,46329.3,2078.9,29231.1,14350,14696,10924959.9,3986019.9,1544.31,69.3,5600.4,52039.901315150455,0.7804287074091976,False,3369471.2,3.228522648083624,11.432498639085466,3.541092903861626
717,2022-12-01,178309.5,46106.5,3326.3,32557.4,15780,15923,11103269.4,4032126.4,1487.31,107.3,5751.92,61026.621192239705,17.268902611221783,False,3415577.7,2.921831432192649,11.198235257175156,3.8326082517264153
1168,2013-05-01,104962.8,64199.3,0.2,0.2,42289,13929,2849485.2,4032514.0,2070.95,0.01,3385.9,69140.50229831165,-4.991773920008836,False,1813875.5,1.518108728038024,7.535558905879819,4.963780766624429
